#Operon 	Genes in Operon
24 	[('15789472', 129737, 130693, '-', 'kdgK'), ('15789473', 130717, 132696, '-', 'mutL')]
25 	[('15789475', 135504, 136793, '+', 'gdhB'), ('15789476', 136676, 138478, '+', 'alkK')]
26 	[('15789485', 148838, 151168, '+', 'cat1'), ('15789486', 151174, 151860, '+', 'trkA1')]
27 	[('15789505', 169721, 170389, '-', '-'), ('15789506', 170386, 170754, '-', '-'), ('15789507', 170747, 171424, '-', '-')]
28 	[('15789508', 171924, 172646, '-', '-'), ('15789509', 172643, 173506, '-', '-'), ('15789510', 173537, 173824, '-', '-')]
29 	[('15789511', 175115, 175471, '+', '-'), ('15789512', 175471, 175920, '+', '-'), ('15789513', 175913, 176947, '+', '-')]
30 	[('15789515', 177587, 178354, '+', '-'), ('15789516', 178317, 179321, '+', '-')]
31 	[('15789522', 187174, 187731, '+', '-'), ('15789523', 187731, 188303, '+', '-'), ('15789524', 188303, 189565, '+', '-')]
32 	[('15789528', 192826, 193377, '+', 'guaAa'), ('15789529', 193384, 195258, '+', '-'), ('15789530', 195274, 195984, '+', '-')]
33 	[('15789531', 196042, 196281, '-', '-'), ('15789532', 196288, 196665, '-', '-')]
34 	[('15789533', 197052, 197186, '-', '-'), ('15789534', 197195, 197512, '-', 'rpl37ae')]
35 	[('16554460', 198651, 199955, '-', 'truD'), ('16554461', 199955, 200293, '-', '-')]
36 	[('15789538', 200377, 200991, '+', '-'), ('15789539', 201025, 201612, '+', 'dcd'), ('15789540', 201609, 202517, '+', '-')]
37 	[('15789541', 202509, 203273, '-', '-'), ('15789542', 203276, 205708, '-', 'fbr')]
38 	[('15789543', 205790, 206539, '-', '-'), ('15789544', 206579, 207418, '-', '-')]
39 	[('15789547', 209439, 210038, '+', '-'), ('15789548', 210031, 210582, '+', '-')]
40 	[('15789551', 211694, 211852, '+', '-'), ('15789552', 211896, 213011, '+', '-')]
41 	[('15789555', 215499, 216068, '+', '-'), ('15789556', 216068, 216961, '+', '-'), ('15789557', 216982, 218070, '+', '-')]
42 	[('15789558', 218415, 219332, '+', '-'), ('15789559', 219360, 220454, '+', '-'), ('15789560', 220482, 220949, '+', '-')]
43 	[('15789561', 221005, 221610, '+', '-'), ('15789562', 221649, 223274, '+', 'crtI3')]
44 	[('15789565', 225590, 226024, '-', '-'), ('15789566', 226021, 226179, '-', '-')]
45 	[('15789568', 229052, 229441, '+', '-'), ('15789569', 229443, 230597, '+', '-')]
46 	[('15789571', 231155, 231817, '-', '-'), ('15789572', 231863, 232645, '-', '-'), ('15789573', 232683, 232952, '-', '-')]
47 	[('15789577', 235698, 236303, '-', '-'), ('15789578', 236318, 237037, '-', '-')]
48 	[('15789582', 240541, 241296, '+', 'trpC'), ('15789583', 241293, 242585, '+', 'trpB'), ('16554463', 242582, 243412, '+', 'trpA'), ('15789585', 243437, 244234, '+', '-')]
49 	[('15789595', 251940, 253118, '-', 'ids'), ('15789596', 253158, 253667, '-', '-'), ('15789597', 253700, 253876, '-', '-'), ('15789598', 253914, 255653, '-', 'pykA')]
50 	[('15789600', 257872, 258939, '-', 'gadD'), ('15789601', 258965, 260251, '-', 'caaX'), ('15789602', 260291, 262549, '-', 'ppsA')]
51 	[('15789608', 268046, 268906, '-', '-'), ('15789609', 268899, 272471, '-', 'smc1'), ('15789610', 272493, 272777, '-', '-')]
52 	[('15789615', 278123, 279412, '+', '-'), ('15789616', 279446, 279664, '+', '-'), ('15789617', 279704, 280474, '+', '-')]
53 	[('15789619', 282398, 282826, '+', '-'), ('15789620', 282823, 283725, '+', '-')]
54 	[('15789622', 284272, 285273, '+', '-'), ('15789623', 285278, 286072, '+', 'nfi')]
55 	[('15789626', 288101, 288445, '+', '-'), ('15789627', 288491, 289006, '+', '-')]
56 	[('15789631', 291994, 292431, '-', 'nusG'), ('15789632', 292433, 292606, '-', 'secE')]
57 	[('15789633', 292670, 293860, '-', 'ftsZ1'), ('15789634', 293888, 295060, '-', '-')]
58 	[('15789636', 296344, 297144, '+', 'aroE'), ('15789637', 297162, 297530, '+', '-'), ('15789638', 297545, 299011, '+', 'trpE2'), ('16554468', 299008, 299583, '+', 'trpG2'), ('15789640', 299568, 300425, '+', 'ilvE1'), ('15789641', 300471, 300941, '+', '-')]
59 	[('15789644', 302277, 302999, '-', '-'), ('15789645', 303046, 304194, '-', '-')]
60 	[('15789653', 311391, 311921, '+', '-'), ('15789654', 311957, 312946, '+', '-')]
61 	[('15789657', 315206, 316276, '-', '-'), ('15789658', 316309, 318105, '-', '-')]
62 	[('15789660', 319297, 321744, '-', 'folP'), ('15789661', 321793, 323580, '-', 'purH')]
63 	[('15789663', 325020, 325661, '+', '-'), ('15789664', 325698, 326195, '+', '-')]
64 	[('15789668', 328415, 328807, '+', 'nac'), ('15789669', 328807, 329523, '+', 'pimT2')]
65 	[('15789677', 334798, 335064, '-', '-'), ('15789678', 335061, 336626, '-', 'nhaC1')]
66 	[('15789684', 341670, 342908, '-', 'rspA'), ('15789685', 342946, 343887, '-', 'dapA'), ('15789686', 343909, 345117, '-', '-')]
67 	[('15789687', 345205, 346275, '+', 'gcd'), ('15789688', 346272, 346910, '+', 'pyrE1')]
68 	[('15789691', 348053, 348898, '-', 'pstB2'), ('15789692', 348905, 350605, '-', 'pstA2'), ('15789693', 350607, 351566, '-', 'pstC2')]
69 	[('15789698', 356605, 356889, '-', '-'), ('15789699', 356891, 357508, '-', '-'), ('16554469', 357501, 358391, '-', 'nosF2'), ('15789701', 358388, 359239, '-', '-')]
70 	[('15789704', 361705, 363387, '-', '-'), ('15789705', 363359, 364117, '-', 'trp3')]
71 	[('15789706', 364276, 364476, '-', '-'), ('15789707', 364473, 364889, '-', '-')]
72 	[('15789708', 365304, 366173, '-', 'porB'), ('15789709', 366170, 367918, '-', 'porA')]
73 	[('15789711', 369409, 369825, '-', '-'), ('15789712', 369837, 370787, '-', 'yajO1')]
74 	[('15789717', 376820, 377209, '-', '-'), ('15789718', 377233, 377808, '-', 'hat1'), ('15789719', 377808, 378581, '-', '-'), ('15789720', 378529, 379233, '-', '-')]
75 	[('15789723', 382599, 383294, '-', '-'), ('15789724', 383334, 383987, '-', 'grpE')]
76 	[('15789726', 384499, 385005, '-', '-'), ('15789727', 385002, 385913, '-', 'cna')]
77 	[('15789740', 395945, 397108, '+', 'ppe'), ('15789741', 397105, 399756, '+', '-')]
78 	[('15789747', 404888, 405814, '+', 'yurY'), ('15789748', 405851, 407275, '+', '-'), ('15789749', 407277, 408491, '+', '-')]
79 	[('15789757', 413539, 416253, '-', '-'), ('15789758', 416246, 416737, '-', '-')]
80 	[('15789764', 421905, 422657, '-', '-'), ('15789765', 422662, 422844, '-', '-'), ('15789766', 422844, 423647, '-', 'eif2a'), ('15789767', 423644, 423817, '-', 'rps27e'), ('15789768', 423822, 424007, '-', 'rpl44e')]
81 	[('15789774', 431659, 433443, '-', '-'), ('161349984', 433440, 435059, '-', '-'), ('15789776', 435056, 436198, '-', 'ndhG2')]
82 	[('15789777', 436530, 436886, '-', '-'), ('15789778', 436883, 437350, '-', '-'), ('15789779', 437347, 437877, '-', '-'), ('16554471', 437874, 438200, '-', 'mnhG'), ('161349983', 438197, 438472, '-', '-'), ('15789782', 438469, 439563, '-', '-')]
83 	[('15789787', 444303, 444683, '+', '-'), ('15789788', 444728, 445168, '+', '-')]
84 	[('15789789', 445263, 445523, '-', '-'), ('15789790', 445516, 445803, '-', '-')]
85 	[('15789791', 445897, 446661, '-', '-'), ('15789792', 446666, 447478, '-', 'cyb'), ('15789793', 447481, 448311, '-', '-'), ('15789794', 448314, 448700, '-', '-'), ('15789795', 448700, 449389, '-', '-')]
86 	[('15789807', 458746, 459027, '+', '-'), ('15789808', 459075, 459317, '+', '-')]
87 	[('15789812', 461747, 462160, '-', '-'), ('15789813', 462193, 462840, '-', '-')]
88 	[('15789817', 466928, 467362, '-', '-'), ('15789818', 467390, 469276, '-', 'htr16')]
89 	[('15789828', 479857, 480999, '-', 'aspB2'), ('15789829', 480996, 481397, '-', 'ribH')]
90 	[('15789831', 483366, 484460, '+', 'purK'), ('15789832', 484457, 485068, '+', 'purE')]
91 	[('15789833', 485194, 485604, '+', 'nolB'), ('15789834', 485597, 486304, '+', 'ndhG1'), ('15789835', 486301, 487989, '+', 'ndhG5')]
92 	[('15789836', 488101, 489045, '+', 'ndhG4'), ('15789837', 489042, 489503, '+', 'nolD')]
93 	[('15789839', 489893, 490126, '+', '-'), ('15789840', 490126, 490428, '+', 'nolC'), ('15789841', 490430, 492508, '+', 'nuoL'), ('15789842', 492509, 494068, '+', 'nuoM')]
94 	[('15789844', 495620, 497053, '+', '-'), ('15789845', 497085, 497903, '+', 'imd1')]
95 	[('15789851', 503179, 503406, '-', '-'), ('15789852', 503448, 503834, '-', '-')]
96 	[('15789856', 506634, 507962, '+', 'ctaB'), ('15789857', 507963, 508619, '+', 'trp4'), ('15789858', 508660, 509556, '+', '-'), ('15789859', 509553, 510302, '+', '-')]
97 	[('15789860', 510308, 510787, '-', '-'), ('15789861', 510805, 511413, '-', '-')]
98 	[('15789862', 511535, 511951, '+', 'mcmA2'), ('15789863', 511953, 512927, '+', '-')]
99 	[('15789865', 513894, 514277, '-', '-'), ('15789866', 514274, 515461, '-', 'acaB1'), ('15789867', 515503, 515790, '-', '-'), ('15789868', 515836, 517029, '-', 'acd4')]
100 	[('15789872', 519914, 520705, '+', '-'), ('15789873', 520705, 521568, '+', 'fbp'), ('15789874', 521594, 522283, '+', '-')]
101 	[('15789876', 523515, 524378, '+', 'trp5'), ('15789877', 524375, 526114, '+', '-')]
102 	[('15789890', 536584, 537165, '+', '-'), ('15789891', 537212, 537907, '+', '-')]
103 	[('15789897', 543049, 544518, '-', 'dip2'), ('15789898', 544564, 545673, '-', 'pepQ1')]
104 	[('15789909', 554704, 555291, '+', 'hlx2'), ('15789910', 555295, 557208, '+', 'kinA2')]
105 	[('15789917', 560272, 562254, '-', 'spoVR'), ('15789918', 562241, 563569, '-', '-'), ('15789919', 563560, 565773, '-', 'prkA')]
106 	[('15789924', 570402, 571580, '-', 'ylnA'), ('15789925', 571614, 572417, '-', '-')]
107 	[('15789927', 573224, 573769, '+', 'tfeA'), ('15789928', 573769, 574440, '+', '-'), ('15789929', 574437, 575162, '+', '-'), ('15789930', 575197, 575892, '+', 'dip3')]
108 	[('15789936', 579298, 579477, '+', '-'), ('15789937', 579518, 579742, '+', '-'), ('15789938', 579788, 580198, '+', '-')]
109 	[('15789942', 584205, 584645, '-', 'taqD'), ('15789943', 584642, 585127, '-', '-')]
110 	[('15789944', 585235, 587049, '+', '-'), ('15789945', 586952, 587128, '+', '-')]
111 	[('15789949', 591340, 591960, '-', 'rps3e'), ('15789950', 591957, 592118, '-', '-')]
112 	[('15789951', 592199, 593302, '-', '-'), ('15789952', 593307, 593774, '-', 'rps15p')]
113 	[('15789953', 594361, 596730, '-', 'htr6'), ('15789954', 596727, 597695, '-', 'yufN')]
114 	[('15789958', 601488, 602189, '+', '-'), ('15789959', 602186, 602782, '+', '-')]
115 	[('15789966', 609588, 611960, '+', 'htr18'), ('15789967', 611957, 613207, '+', 'potD')]
116 	[('15789971', 616933, 618651, '+', '-'), ('15789972', 618648, 620333, '+', '-')]
117 	[('15789973', 620587, 621240, '-', '-'), ('15789974', 621237, 622844, '-', '-')]
118 	[('15789975', 623369, 625054, '-', 'gspE2'), ('15789976', 625085, 625786, '-', 'gdb')]
119 	[('15789979', 627213, 627452, '+', '-'), ('15789980', 627445, 629958, '+', 'dmsA'), ('15789981', 629955, 630743, '+', 'hmoA'), ('15789982', 630743, 632050, '+', 'moz'), ('15789983', 632047, 632625, '+', '-')]
120 	[('15789987', 636909, 637199, '+', '-'), ('15789988', 637192, 638265, '+', 'ssrA')]
121 	[('15789993', 642117, 643022, '-', '-'), ('15789994', 643071, 644420, '-', '-')]
122 	[('15789998', 646591, 647625, '+', '-'), ('16554473', 647674, 648294, '+', '-')]
123 	[('15790006', 654315, 654935, '+', '-'), ('15790007', 654935, 656017, '+', 'asnA')]
124 	[('15790008', 656033, 656506, '-', '-'), ('15790009', 656539, 657525, '-', 'tfbD')]
125 	[('15790010', 657575, 657961, '+', 'gatC'), ('15790011', 657961, 659232, '+', 'gatA')]
126 	[('15790013', 659810, 661324, '+', 'traB'), ('16554474', 661336, 661929, '+', '-')]
127 	[('16554475', 663068, 663607, '-', '-'), ('15790017', 663648, 664013, '-', '-')]
128 	[('15790022', 668445, 669545, '-', 'top6A'), ('15790023', 669542, 671956, '-', 'top6B')]
129 	[('15790024', 672176, 674011, '+', 'gyrB'), ('15790025', 674013, 676487, '+', 'gyrA')]
130 	[('15790026', 676676, 677209, '+', 'imd2'), ('15790027', 677255, 678424, '+', 'yjlD'), ('15790028', 678467, 678622, '+', '-'), ('16554477', 678619, 679143, '+', '-')]
131 	[('15790031', 680470, 681555, '-', 'rbsC1'), ('15790032', 681548, 682771, '-', 'rbsC2'), ('15790033', 682768, 684288, '-', 'rbsA'), ('15790034', 684313, 685362, '-', '-')]
132 	[('15790035', 685465, 686847, '-', 'pmu2'), ('15790036', 686893, 687372, '-', '-')]
133 	[('15790038', 687787, 689355, '+', 'putP'), ('15790039', 689345, 689866, '+', '-')]
134 	[('15790040', 689936, 690208, '+', '-'), ('15790041', 690192, 691643, '+', '-')]
135 	[('15790044', 694068, 696365, '-', 'ark'), ('15790045', 696355, 696996, '-', 'hrg')]
136 	[('15790048', 698755, 700821, '-', '-'), ('15790049', 700821, 701954, '-', 'potA1'), ('15790050', 701947, 703560, '-', 'sfuB'), ('15790051', 703563, 704714, '-', 'ibp')]
137 	[('15790054', 706028, 706747, '-', '-'), ('15790055', 706744, 708309, '-', 'mak')]
138 	[('15790057', 709490, 710641, '+', 'acaB2'), ('15790058', 710638, 711030, '+', '-')]
139 	[('16554478', 716669, 718771, '+', 'ACS3'), ('15790066', 718768, 719832, '+', '-')]
140 	[('15790070', 721030, 722001, '-', 'minD1'), ('15790071', 722046, 723791, '-', 'fapJ'), ('15790072', 723798, 725687, '-', 'gspE3'), ('16554479', 725699, 726469, '-', 'flaH'), ('16554480', 726466, 726921, '-', '-'), ('15790074', 726922, 727359, '-', '-'), ('15790075', 727343, 728857, '-', '-')]
141 	[('15790076', 728962, 729432, '-', 'fapE'), ('15790077', 729429, 731339, '-', 'htr15')]
142 	[('16554481', 737643, 738110, '-', 'cheD'), ('15790087', 738107, 739246, '-', '-'), ('15790088', 739248, 739835, '-', 'cheC1'), ('15790089', 739838, 741844, '-', 'cheA'), ('15790090', 741846, 742889, '-', 'cheB'), ('15790091', 742886, 743248, '-', 'cheY'), ('15790092', 743295, 743831, '-', 'cheW1')]
143 	[('16554482', 774736, 775503, '+', '-'), ('15790123', 775533, 775805, '+', '-')]
144 	[('15790126', 778446, 778820, '-', '-'), ('15790127', 778857, 779960, '-', '-')]
145 	[('15790128', 780246, 782048, '+', 'adh3'), ('15790129', 782045, 782896, '+', '-'), ('15790130', 782934, 783695, '+', '-'), ('15790131', 783700, 784716, '+', '-'), ('15790132', 784713, 785120, '+', '-'), ('15790133', 785117, 785962, '+', '-'), ('15790134', 785972, 786526, '+', '-')]
146 	[('15790135', 786530, 787174, '-', 'tpiA'), ('15790136', 787221, 787760, '-', '-'), ('15790137', 787803, 788402, '-', 'pgsA'), ('15790138', 788399, 788908, '-', '-'), ('15790139', 788905, 790092, '-', 'hisC1')]
147 	[('15790141', 790599, 792188, '-', '-'), ('15790142', 792185, 792703, '-', '-')]
148 	[('15790164', 812621, 813382, '+', '-'), ('15790165', 813372, 814280, '+', '-')]
149 	[('15790170', 820841, 821197, '-', 'cinR'), ('15790171', 821245, 822726, '-', 'lfl1'), ('15790172', 822719, 823564, '-', 'ykfB2')]
150 	[('15790176', 827496, 829250, '-', 'menD'), ('15790177', 829247, 830572, '-', 'menF'), ('15790178', 830618, 831214, '-', 'yuiH')]
151 	[('15790185', 836666, 837766, '-', '-'), ('15790186', 837766, 838644, '-', '-')]
152 	[('15790191', 842300, 843136, '+', '-'), ('15790192', 843129, 843680, '+', '-')]
153 	[('15790194', 845055, 845399, '-', 'rpl12p'), ('15790195', 845405, 846463, '-', 'rplP0'), ('15790196', 846465, 847103, '-', 'rpl1P')]
154 	[('15790199', 848173, 849285, '+', 'drg'), ('15790200', 849289, 849699, '+', '-')]
155 	[('15790209', 855719, 856657, '-', 'korB'), ('15790210', 856660, 858582, '-', 'korA')]
156 	[('15790211', 858687, 858911, '-', '-'), ('15790212', 858908, 859939, '-', 'mrp')]
157 	[('15790213', 860275, 860790, '+', 'rps13p'), ('15790214', 860790, 861302, '+', 'rps4p'), ('161349982', 861309, 861692, '+', 'rps11p'), ('15790216', 861696, 862442, '+', 'rpb3')]
158 	[('15790217', 862694, 863047, '+', 'rpl18e'), ('15790218', 863044, 863481, '+', 'rpl13p'), ('16554485', 863475, 863873, '+', 'rps9p'), ('15790220', 863886, 864086, '+', 'rpoN'), ('15790221', 864089, 864271, '+', 'rpoK'), ('15790222', 864273, 865469, '+', 'eno'), ('15790223', 865466, 866215, '+', 'rps2P')]
159 	[('15790225', 867210, 868202, '+', 'mvk'), ('15790226', 868199, 868936, '+', 'argB')]
160 	[('16554486', 869155, 870501, '+', '-'), ('15790228', 870501, 871544, '+', 'idsA')]
161 	[('15790231', 873734, 874207, '-', '-'), ('15790232', 874233, 876539, '-', 'hsp3')]
162 	[('15790233', 876667, 877029, '+', 'rpl7ae'), ('161349981', 877036, 877260, '+', 'rps28e'), ('15790235', 877260, 877448, '+', 'rpl24e'), ('15790236', 877445, 877930, '+', 'ndk')]
163 	[('15790238', 878982, 879557, '-', 'hemK'), ('15790239', 879550, 880452, '-', '-')]
164 	[('15790240', 880623, 881471, '-', 'ksgA'), ('15790241', 881509, 882102, '-', '-'), ('15790242', 882144, 882503, '-', '-'), ('15790243', 882503, 882802, '-', 'rpl21e')]
165 	[('15790245', 884446, 884745, '-', 'ef1B'), ('16554487', 884715, 884888, '-', '-')]
166 	[('15790247', 886911, 887744, '+', 'nop56/58'), ('15790248', 887741, 888373, '+', 'fib')]
167 	[('15790249', 888387, 888617, '-', '-'), ('15790250', 888617, 889327, '-', '-')]
168 	[('15790251', 889326, 889859, '+', 'msrA'), ('15790252', 889903, 890526, '+', 'flaA1b')]
169 	[('16554488', 891125, 892330, '-', 'nirJ'), ('15790255', 892327, 892578, '-', '-')]
170 	[('15790257', 893923, 895062, '+', 'pan1'), ('15790258', 895069, 895686, '+', 'hcpD')]
171 	[('15790263', 899522, 899731, '-', '-'), ('15790264', 899768, 899878, '-', '-')]
172 	[('15790268', 902438, 903073, '-', 'fucA'), ('15790269', 903076, 903774, '-', '-'), ('15790270', 903818, 905068, '-', 'gdhA2')]
173 	[('15790273', 907743, 909509, '+', 'hutU'), ('15790274', 909509, 910429, '+', 'hutG'), ('15790275', 910426, 911679, '+', 'hutI'), ('16554490', 911697, 913253, '+', 'hutH')]
174 	[('15790279', 916393, 916875, '-', 'pai1'), ('15790280', 916872, 918068, '-', 'pgk')]
175 	[('15790293', 929643, 930380, '+', '-'), ('15790294', 930370, 931761, '+', '-')]
176 	[('15790297', 932654, 932875, '+', '-'), ('15790298', 932862, 935048, '+', 'yhdG')]
177 	[('15790300', 936143, 936409, '-', '-'), ('15790301', 936406, 937260, '-', '-')]
178 	[('15790303', 937934, 938593, '-', 'ybhF'), ('15790304', 938596, 939666, '-', '-'), ('15790305', 939667, 940758, '-', '-')]
179 	[('15790307', 943743, 944486, '-', 'yhcR'), ('15790308', 944486, 945883, '-', '-'), ('15790309', 945880, 947262, '-', '-')]
180 	[('15790311', 947927, 948211, '-', '-'), ('15790312', 948260, 949348, '-', 'trxB2')]
181 	[('15790322', 955464, 956882, '+', '-'), ('15790323', 956875, 957366, '+', 'moaC')]
182 	[('16554491', 957376, 958683, '-', 'hflX2'), ('15790325', 958732, 959457, '-', '-')]
183 	[('15790326', 959518, 960012, '-', '-'), ('15790327', 960009, 960611, '-', '-'), ('15790328', 960595, 960975, '-', '-')]
184 	[('15790329', 961406, 962074, '-', 'trkA5'), ('15790330', 962119, 962319, '-', '-'), ('15790331', 962319, 963932, '-', 'trkH1')]
185 	[('15790333', 964835, 965257, '-', '-'), ('15790334', 965294, 965509, '-', '-')]
186 	[('15790335', 965562, 966389, '-', '-'), ('15790336', 966430, 966543, '-', '-')]
187 	[('15790347', 976559, 978406, '-', 'sdhA'), ('15790348', 978413, 979291, '-', 'sdhB'), ('15790349', 979298, 979660, '-', 'sdhD'), ('15790350', 979662, 980084, '-', 'sdhC')]
188 	[('15790353', 983197, 983418, '+', '-'), ('15790354', 983324, 983818, '+', '-')]
189 	[('15790358', 986348, 987505, '+', 'cbp'), ('15790359', 987502, 989949, '+', '-')]
190 	[('15790367', 994265, 995734, '-', 'phr2'), ('15790368', 995751, 996206, '-', '-')]
191 	[('15790372', 1000227, 1000994, '+', 'fabG'), ('16554492', 1000991, 1002007, '+', '-')]
192 	[('15790376', 1004042, 1004611, '+', '-'), ('15790377', 1004568, 1005329, '+', '-')]
193 	[('15790381', 1007425, 1009293, '-', 'gatB1'), ('15790382', 1009330, 1010874, '-', '-'), ('15790383', 1010871, 1011350, '-', '-'), ('15790384', 1011395, 1012807, '-', 'fumC')]
194 	[('15790385', 1013011, 1013259, '-', '-'), ('15790386', 1013308, 1014291, '-', 'rad2'), ('15790387', 1014340, 1014834, '-', '-')]
195 	[('15790391', 1017495, 1017722, '-', '-'), ('15790392', 1017722, 1018000, '-', 'srp19'), ('15790393', 1018040, 1019149, '-', 'btuF')]
196 	[('15790394', 1019209, 1020318, '+', 'btuC'), ('16554494', 1020315, 1021511, '+', 'btuD')]
197 	[('15790400', 1026961, 1027410, '-', 'asnC'), ('15790401', 1027447, 1028247, '-', 'suhB')]
198 	[('15790403', 1029784, 1030257, '+', '-'), ('15790404', 1030300, 1030734, '+', '-')]
199 	[('15790405', 1030786, 1033188, '+', 'rad3a'), ('15790406', 1033228, 1033419, '+', '-'), ('15790407', 1033416, 1033934, '+', 'yvoF')]
200 	[('15790408', 1033931, 1034509, '-', '-'), ('15790409', 1034506, 1035285, '-', '-'), ('15790410', 1035287, 1036099, '-', '-')]
201 	[('16554495', 1036721, 1037209, '-', '-'), ('15790412', 1037249, 1037746, '-', '-')]
202 	[('15790416', 1040976, 1041458, '-', '-'), ('15790417', 1041502, 1041948, '-', '-'), ('15790418', 1041974, 1042369, '-', '-')]
203 	[('15790426', 1051252, 1052118, '-', '-'), ('15790427', 1052148, 1053737, '-', '-')]
204 	[('15790432', 1058589, 1059044, '+', '-'), ('15790433', 1059075, 1059986, '+', '-')]
205 	[('15790436', 1060839, 1061117, '+', '-'), ('15790437', 1061121, 1061363, '+', '-')]
206 	[('15790442', 1065552, 1065731, '+', 'rps17E'), ('15790443', 1065778, 1066809, '+', 'asd')]
207 	[('15790446', 1068714, 1069064, '-', '-'), ('15790447', 1069113, 1070375, '-', 'htr12')]
208 	[('15790449', 1071909, 1072142, '-', '-'), ('15790450', 1072166, 1073080, '-', '-')]
209 	[('15790452', 1073658, 1074833, '+', 'yfkN'), ('15790453', 1074878, 1075960, '+', '-')]
210 	[('15790456', 1077321, 1078823, '-', '-'), ('15790457', 1078862, 1079908, '-', '-'), ('15790458', 1079946, 1080326, '-', '-')]
211 	[('15790462', 1082555, 1082767, '-', '-'), ('15790463', 1082767, 1084842, '-', 'cdc48a')]
212 	[('15790465', 1085495, 1087519, '-', 'bat'), ('15790466', 1087516, 1088622, '-', 'brp')]
213 	[('15790470', 1090362, 1091636, '+', 'pri'), ('15790471', 1091633, 1092457, '+', '-')]
214 	[('15790472', 1092551, 1094830, '-', 'cdc48b'), ('15790473', 1094827, 1095075, '-', '-')]
215 	[('15790475', 1096286, 1097941, '+', '-'), ('15790476', 1097962, 1100202, '+', '-')]
216 	[('15790490', 1110237, 1110413, '-', 'rpl37e'), ('15790491', 1110410, 1110619, '-', 'snp'), ('15790492', 1110649, 1111710, '-', 'celM')]
217 	[('15790500', 1121952, 1123601, '-', '-'), ('15790501', 1123649, 1125703, '-', '-'), ('15790502', 1125749, 1125985, '-', '-')]
218 	[('15790503', 1126036, 1126644, '-', '-'), ('15790504', 1126648, 1127235, '-', 'tdk')]
219 	[('15790513', 1137505, 1139055, '+', 'mmdA'), ('15790514', 1139055, 1139312, '+', '-')]
220 	[('15790522', 1148259, 1149530, '+', 'sucC'), ('15790523', 1149527, 1150396, '+', 'sucD')]
221 	[('15790526', 1154318, 1154809, '-', '-'), ('15790527', 1154857, 1155096, '-', '-')]
222 	[('15790529', 1156903, 1157466, '+', 'cbiT'), ('15790530', 1157463, 1158167, '+', 'cbiL'), ('15790531', 1158160, 1159026, '+', 'cbiF'), ('15790532', 1159023, 1160000, '+', 'cbiG'), ('15790533', 1159997, 1160827, '+', 'cobH'), ('15790534', 1160827, 1161834, '+', 'cbiH'), ('15790535', 1161834, 1162082, '+', '-'), ('15790536', 1162079, 1162777, '+', '-'), ('16554498', 1162804, 1163997, '+', '-'), ('15790538', 1163994, 1164365, '+', '-'), ('15790539', 1164343, 1165566, '+', '-')]
223 	[('15790541', 1167897, 1171601, '+', 'cobN'), ('15790542', 1171591, 1172304, '+', 'cbiC'), ('15790543', 1172301, 1173053, '+', 'cbiJ')]
