#Operon 	Genes in Operon
36 	[('HCP21_2_35932', 1, 159, '+', '2099447716'), ('HCP21_2_45034', 1, 124, '+', '2099447717'), ('HCP21_2_46534', 1, 132, '+', '2099447718')]
37 	[('HCP21_2_58920', 2, 105, '-', '2099447719'), ('HCP21_2_66420', 2, 165, '-', '2099447720'), ('HCP21_2_68420', 3, 215, '-', '2099447721'), ('HCP21_2_74063', 2, 120, '-', '2099447722'), ('HCP21_2_76563', 3, 139, '-', '2099447723'), ('HCP21_2_88217', 2, 132, '-', '2099447724')]
38 	[('HCP21_2_98889', 1, 123, '+', '2099447725'), ('HCP21_2_106488', 2, 103, '+', '2099447726')]
39 	[('HCP21_2_113988', 42, 146, '-', '2099447727'), ('HCP21_2_118488', 2, 213, '-', '2099447728')]
40 	[('HCP21_2_119488', 1, 234, '+', '2099447729'), ('HCP21_2_122736', 13, 108, '+', '2099447730')]
41 	[('HCP21_2_127236', 1, 132, '+', '2099447732'), ('HCP21_2_129236', 2, 109, '+', '2099447733')]
42 	[('HCP21_2_156268', 7, 123, '+', '2099447741'), ('HCP21_2_160268', 3, 164, '+', '2099447742')]
43 	[('HCP21_4132', 708, 872, '+', '2099447745'), ('HCP21_6016', 207, 344, '+', '2099447746'), ('HCP21_9963', 3, 92, '+', '2099447747')]
44 	[('HCP21_8239', 3, 353, '-', '2099447749'), ('HCP21_2399', 3, 1073, '-', '2099447750')]
45 	[('HCP21_2399', 1123, 1893, '-', '2099447751'), ('HCP21_2399', 1915, 2241, '-', '2099447752')]
46 	[('HCP21_6615', 1, 384, '+', '2099447754'), ('HCP21_115_', 2, 2785, '+', '2099447755'), ('HCP21_8479', 2, 430, '+', '2099447756'), ('HCP21_1585', 3, 353, '+', '2099447757'), ('HCP21_2433', 3, 638, '+', '2099447758')]
47 	[('HCP21_2957', 62, 496, '-', '2099447766'), ('HCP21_2957', 477, 554, '-', '2099447767')]
48 	[('HCP21_1079', 2, 193, '+', '2099447768'), ('HCP21_9913', 2, 493, '+', '2099447769'), ('HCP21_911_', 2, 346, '+', '2099447770')]
49 	[('HCP21_8019', 3, 287, '+', '2099447772'), ('HCP21_8019', 303, 1220, '+', '2099447773'), ('HCP21_5651', 3, 176, '+', '2099447774')]
50 	[('HCP21_5651', 283, 528, '-', '2099447775'), ('HCP21_5433', 3, 398, '-', '2099447776'), ('HCP21_4456', 1, 642, '-', '2099447777')]
51 	[('HCP21_8361', 207, 431, '+', '2099447780'), ('HCP21_2102', 2, 343, '+', '2099447781'), ('HCP21_9469', 88, 1209, '+', '2099447782')]
52 	[('HCP21_8179', 3, 461, '-', '2099447783'), ('HCP21_1405', 1, 147, '-', '2099447784'), ('HCP21_2374', 1, 252, '-', '2099447785')]
53 	[('HCP21_4709', 3, 395, '-', '2099447787'), ('HCP21_1477', 364, 432, '-', '2099447788')]
54 	[('HCP21_4665', 425, 487, '-', '2099447790'), ('HCP21_1817', 48, 302, '-', '2099447791')]
55 	[('HCP21_10249', 3, 458, '+', '2099447792'), ('HCP21_2422', 2, 2179, '+', '2099447793'), ('HCP21_2422', 2220, 2282, '+', '2099447794'), ('HCP21_3713', 1, 642, '+', '2099447795')]
56 	[('HCP21_10361', 162, 713, '-', '2099447798'), ('HCP21_5783', 3, 419, '-', '2099447799'), ('HCP21_9479', 1, 309, '-', '2099447800'), ('HCP21_9479', 254, 487, '-', '2099447801'), ('HCP21_2_13965', 3, 233, '-', '2099447802'), ('HCP21_4209', 1, 264, '-', '2099447803'), ('HCP21_1575', 2, 445, '-', '2099447804')]
57 	[('HCP21_10425', 621, 965, '+', '2099447806'), ('HCP21_7335', 1, 471, '+', '2099447807'), ('HCP21_6827', 59, 553, '+', '2099447808')]
58 	[('HCP21_736_', 2, 130, '+', '2099447810'), ('HCP21_6496', 3, 638, '+', '2099447811')]
59 	[('HCP21_8652', 2, 124, '-', '2099447812'), ('HCP21_5882', 1, 342, '-', '2099447813')]
60 	[('HCP21_9376', 139, 1014, '+', '2099447814'), ('HCP21_7098', 3, 566, '+', '2099447815'), ('HCP21_6954', 2, 424, '+', '2099447816'), ('HCP21_3488', 1, 606, '+', '2099447817')]
61 	[('HCP21_1678', 3, 434, '+', '2099447819'), ('HCP21_5977', 3, 80, '+', '2099447820')]
62 	[('HCP21_5977', 426, 533, '-', '2099447821'), ('HCP21_7007', 3, 374, '-', '2099447822'), ('HCP21_6253', 3, 371, '-', '2099447823')]
63 	[('HCP21_7217', 35, 370, '+', '2099447824'), ('HCP21_122_', 79, 1815, '+', '2099447825'), ('HCP21_10676', 2, 577, '+', '2099447826')]
64 	[('HCP21_5152', 2, 289, '-', '2099447829'), ('HCP21_5152', 301, 420, '-', '2099447830')]
65 	[('HCP21_3757', 3, 332, '-', '2099447832'), ('HCP21_9768', 3, 611, '-', '2099447833')]
66 	[('HCP21_539_', 214, 324, '-', '2099447835'), ('HCP21_3570', 3, 278, '-', '2099447836'), ('HCP21_3570', 275, 721, '-', '2099447837'), ('HCP21_3570', 718, 1092, '-', '2099447838')]
67 	[('HCP21_10196', 24, 902, '+', '2099447841'), ('HCP21_4474', 2, 397, '+', '2099447842')]
68 	[('HCP21_2935', 2, 411, '-', '2099447845'), ('HCP21_6795', 97, 708, '-', '2099447846')]
69 	[('HCP21_913_', 1, 351, '+', '2099447849'), ('HCP21_7523', 1, 312, '+', '2099447850')]
70 	[('HCP21_9589', 2, 448, '-', '2099447851'), ('HCP21_332_', 2, 310, '-', '2099447852'), ('HCP21_1_1_newblercontig12320', 40, 174, '-', '2099447853')]
71 	[('HCP21_2_2467', 1, 105, '+', '2099447854'), ('HCP21_2_6467', 3, 128, '+', '2099447855')]
72 	[('HCP21_2_36525', 87, 170, '+', '2099447861'), ('HCP21_2_42127', 5, 109, '+', '2099447862')]
73 	[('HCP21_2_48627', 2, 142, '+', '2099447864'), ('HCP21_2_51127', 20, 157, '+', '2099447865'), ('HCP21_2_55127', 30, 227, '+', '2099447866')]
74 	[('HCP21_2_69656', 8, 100, '-', '2099447869'), ('HCP21_2_80156', 2, 189, '-', '2099447870')]
75 	[('HCP21_2_81656', 28, 189, '+', '2099447871'), ('HCP21_2_100982', 2, 139, '+', '2099447872'), ('HCP21_2_103982', 15, 185, '+', '2099447873'), ('HCP21_2_105482', 6, 233, '+', '2099447874')]
76 	[('HCP21_2_109081', 16, 105, '-', '2099447875'), ('HCP21_2_111581', 3, 127, '-', '2099447876'), ('HCP21_2_113581', 13, 141, '-', '2099447877'), ('HCP21_2_126829', 3, 128, '-', '2099447878')]
77 	[('HCP21_2_127329', 1, 129, '+', '2099447879'), ('HCP21_2_128829', 1, 147, '+', '2099447880')]
78 	[('HCP21_2_134508', 3, 104, '+', '2099447882'), ('HCP21_2_135008', 21, 104, '+', '2099447883'), ('HCP21_2_137508', 3, 116, '+', '2099447884'), ('HCP21_2_139508', 1, 117, '+', '2099447885'), ('HCP21_2_145508', 2, 175, '+', '2099447886'), ('HCP21_2_148008', 3, 209, '+', '2099447887')]
79 	[('HCP21_2_154361', 3, 113, '-', '2099447888'), ('HCP21_10774', 3, 509, '-', '2099447889')]
80 	[('HCP21_7732', 91, 276, '+', '2099447890'), ('HCP21_7991', 132, 1052, '+', '2099447891')]
81 	[('HCP21_1959', 2, 124, '-', '2099447892'), ('HCP21_1959', 145, 444, '-', '2099447893')]
82 	[('HCP21_10520', 43, 312, '+', '2099447894'), ('HCP21_10564', 2, 88, '+', '2099447895')]
83 	[('HCP21_10564', 366, 575, '+', '2099447896'), ('HCP21_8310', 1, 879, '+', '2099447897'), ('HCP21_851_', 1, 384, '+', '2099447898'), ('HCP21_4442', 3, 1235, '+', '2099447899'), ('HCP21_4442', 1239, 1310, '+', '2099447900'), ('HCP21_10103', 19, 504, '+', '2099447901'), ('HCP21_8234', 70, 1044, '+', '2099447902'), ('HCP21_2705', 1, 408, '+', '2099447903')]
84 	[('HCP21_5777', 647, 847, '-', '2099447905'), ('HCP21_5777', 828, 1040, '-', '2099447906'), ('HCP21_5777', 1056, 1316, '-', '2099447907')]
85 	[('HCP21_6078', 193, 390, '-', '2099447909'), ('HCP21_1025', 2, 313, '-', '2099447910')]
86 	[('HCP21_1652', 159, 347, '+', '2099447911'), ('HCP21_3983', 2, 115, '+', '2099447912'), ('HCP21_4079', 3, 494, '+', '2099447913'), ('HCP21_4585', 1, 66, '+', '2099447914')]
87 	[('HCP21_5421', 240, 572, '-', '2099447915'), ('HCP21_1965', 1, 405, '-', '2099447916')]
88 	[('HCP21_1_1_newblercontig10685', 15, 200, '+', '2099447917'), ('HCP21_1_1_newblercontig16836', 3, 179, '+', '2099447918')]
89 	[('HCP21_2_11968', 2, 168, '-', '2099447919'), ('HCP21_2_21301', 3, 131, '-', '2099447920')]
90 	[('HCP21_2_32026', 2, 115, '+', '2099447923'), ('HCP21_2_36026', 14, 160, '+', '2099447924'), ('HCP21_2_44628', 3, 122, '+', '2099447925')]
91 	[('HCP21_2_50628', 2, 165, '-', '2099447928'), ('HCP21_2_51128', 43, 144, '-', '2099447929')]
92 	[('HCP21_2_62014', 6, 119, '+', '2099447932'), ('HCP21_2_64514', 3, 140, '+', '2099447933'), ('HCP21_2_65014', 72, 143, '+', '2099447934')]
93 	[('HCP21_2_67514', 68, 187, '-', '2099447935'), ('HCP21_2_78157', 2, 159, '-', '2099447936')]
94 	[('HCP21_2_79657', 6, 182, '+', '2099447937'), ('HCP21_2_96983', 14, 112, '+', '2099447938')]
95 	[('HCP21_2_103483', 3, 167, '-', '2099447941'), ('HCP21_2_108582', 18, 110, '-', '2099447942')]
96 	[('HCP21_2_111082', 5, 124, '-', '2099447944'), ('HCP21_2_123830', 2, 111, '-', '2099447945'), ('HCP21_2_124330', 2, 114, '-', '2099447946')]
97 	[('HCP21_2_133509', 1, 99, '+', '2099447949'), ('HCP21_2_138009', 1, 117, '+', '2099447950'), ('HCP21_2_144009', 2, 160, '+', '2099447951'), ('HCP21_2_152862', 5, 107, '+', '2099447952'), ('HCP21_2_156862', 2, 127, '+', '2099447953')]
98 	[('HCP21_6708', 93, 344, '+', '2099447957'), ('HCP21_1242', 3, 380, '+', '2099447958')]
99 	[('HCP21_5569', 156, 317, '-', '2099447961'), ('HCP21_9083', 43, 423, '-', '2099447962'), ('HCP21_5161', 1, 972, '-', '2099447963')]
100 	[('HCP21_2319', 2, 370, '+', '2099447964'), ('HCP21_2257', 4, 309, '+', '2099447965'), ('HCP21_690_', 3, 371, '+', '2099447966'), ('HCP21_505_', 3, 386, '+', '2099447967')]
101 	[('HCP21_4270', 209, 379, '-', '2099447968'), ('HCP21_4692', 27, 707, '-', '2099447969'), ('HCP21_4816', 1, 351, '-', '2099447970')]
102 	[('HCP21_4313', 1, 306, '+', '2099447971'), ('HCP21_2965', 2, 1162, '+', '2099447972')]
103 	[('HCP21_745_', 1, 387, '-', '2099447975'), ('HCP21_1_1_newblercontig06067', 3, 247, '-', '2099447976')]
104 	[('HCP21_1_1_newblercontig08414', 63, 224, '-', '2099447978'), ('HCP21_2_4969', 3, 116, '-', '2099447979')]
105 	[('HCP21_2_11969', 3, 191, '-', '2099447981'), ('HCP21_2_23802', 9, 146, '-', '2099447982'), ('HCP21_2_28027', 6, 101, '-', '2099447983')]
106 	[('HCP21_2_50129', 2, 160, '+', '2099447986'), ('HCP21_2_57515', 2, 100, '+', '2099447987'), ('HCP21_2_83812', 12, 107, '+', '2099447988')]
107 	[('HCP21_2_89812', 5, 148, '+', '2099447990'), ('HCP21_2_90312', 1, 153, '+', '2099447991')]
108 	[('HCP21_2_92812', 3, 203, '+', '2099447993'), ('HCP21_2_93312', 4, 177, '+', '2099447994'), ('HCP21_2_94984', 7, 99, '+', '2099447995')]
109 	[('HCP21_2_100984', 7, 138, '+', '2099447997'), ('HCP21_2_101484', 3, 143, '+', '2099447998'), ('HCP21_2_116083', 1, 171, '+', '2099447999'), ('HCP21_2_125331', 3, 119, '+', '2099448000'), ('HCP21_2_129831', 1, 162, '+', '2099448001')]
110 	[('HCP21_2_139010', 50, 124, '+', '2099448003'), ('HCP21_2_141010', 2, 133, '+', '2099448004'), ('HCP21_2_148010', 24, 134, '+', '2099448005')]
111 	[('HCP21_2_158363', 2, 139, '+', '2099448007'), ('HCP21_2_160363', 53, 166, '+', '2099448008')]
112 	[('HCP21_6938', 1, 369, '+', '2099448010'), ('HCP21_7489', 80, 553, '+', '2099448011'), ('HCP21_1874', 8, 253, '+', '2099448012'), ('HCP21_4296', 1, 579, '+', '2099448013')]
113 	[('HCP21_4028', 3, 614, '-', '2099448014'), ('HCP21_2847', 64, 1413, '-', '2099448015')]
114 	[('HCP21_9696', 1, 492, '-', '2099448019'), ('HCP21_5825', 45, 440, '-', '2099448020')]
115 	[('HCP21_8069', 2, 547, '+', '2099448021'), ('HCP21_5078', 2, 145, '+', '2099448022'), ('HCP21_4854', 1, 453, '+', '2099448023'), ('HCP21_8291', 3, 791, '+', '2099448024')]
116 	[('HCP21_8291', 907, 972, '-', '2099448025'), ('HCP21_9259', 22, 375, '-', '2099448026'), ('HCP21_4436', 1, 87, '-', '2099448027'), ('HCP21_4436', 88, 486, '-', '2099448028'), ('HCP21_9695', 3, 350, '-', '2099448029'), ('HCP21_2277', 123, 254, '-', '2099448030')]
117 	[('HCP21_7779', 23, 883, '+', '2099448031'), ('HCP21_1_1_newblercontig06662', 3, 242, '+', '2099448032')]
118 	[('HCP21_1_1_newblercontig15486', 5, 220, '-', '2099448033'), ('HCP21_2_9470', 2, 156, '-', '2099448034'), ('HCP21_2_10970', 3, 172, '-', '2099448035')]
119 	[('HCP21_2_22303', 2, 139, '+', '2099448038'), ('HCP21_2_23803', 10, 147, '+', '2099448039')]
120 	[('HCP21_2_52630', 16, 180, '-', '2099448042'), ('HCP21_2_61016', 3, 116, '-', '2099448043')]
121 	[('HCP21_2_65016', 2, 144, '-', '2099448045'), ('HCP21_2_66016', 5, 154, '-', '2099448046')]
122 	[('HCP21_2_69016', 73, 237, '+', '2099448047'), ('HCP21_2_72659', 3, 113, '+', '2099448048'), ('HCP21_2_75159', 3, 128, '+', '2099448049')]
123 	[('HCP21_2_77159', 9, 140, '-', '2099448050'), ('HCP21_2_87813', 2, 129, '-', '2099448051')]
124 	[('HCP21_2_90313', 2, 153, '-', '2099448053'), ('HCP21_2_90813', 2, 162, '-', '2099448054'), ('HCP21_2_100485', 3, 133, '-', '2099448055'), ('HCP21_2_114084', 3, 142, '-', '2099448056')]
125 	[('HCP21_2_131332', 3, 152, '-', '2099448062'), ('HCP21_2_132832', 3, 194, '-', '2099448063'), ('HCP21_2_134011', 3, 98, '-', '2099448064'), ('HCP21_2_135511', 2, 108, '-', '2099448065')]
126 	[('HCP21_2_137011', 1, 114, '+', '2099448066'), ('HCP21_2_145511', 55, 174, '+', '2099448067'), ('HCP21_2_146511', 6, 170, '+', '2099448068'), ('HCP21_2_157364', 1, 126, '+', '2099448069'), ('HCP21_2_159364', 1, 150, '+', '2099448070'), ('HCP21_2_159864', 1, 159, '+', '2099448071'), ('HCP21_39__', 50, 1990, '+', '2099448072'), ('HCP21_4718', 3, 389, '+', '2099448073'), ('HCP21_4718', 370, 1011, '+', '2099448074')]
127 	[('HCP21_37__', 44, 1288, '-', '2099448075'), ('HCP21_37__', 1317, 2570, '-', '2099448076'), ('HCP21_37__', 2567, 3973, '-', '2099448077'), ('HCP21_37__', 3982, 4095, '-', '2099448078'), ('HCP21_3542', 1, 570, '-', '2099448079')]
128 	[('HCP21_1811', 3, 422, '-', '2099448083'), ('HCP21_5822', 29, 469, '-', '2099448084')]
129 	[('HCP21_1072', 3, 287, '+', '2099448085'), ('HCP21_3973', 2, 388, '+', '2099448086')]
130 	[('HCP21_61__', 3, 1169, '-', '2099448087'), ('HCP21_61__', 1176, 1931, '-', '2099448088'), ('HCP21_7610', 3, 500, '-', '2099448089')]
131 	[('HCP21_1706', 3, 320, '+', '2099448090'), ('HCP21_3998', 88, 978, '+', '2099448091')]
132 	[('HCP21_8583', 2, 310, '-', '2099448092'), ('HCP21_9668', 1, 588, '-', '2099448093'), ('HCP21_2468', 2, 490, '-', '2099448094'), ('HCP21_9794', 51, 230, '-', '2099448095')]
133 	[('HCP21_9794', 592, 672, '-', '2099448096'), ('HCP21_3401', 3, 146, '-', '2099448097'), ('HCP21_3401', 184, 369, '-', '2099448098')]
134 	[('HCP21_7514', 298, 360, '+', '2099448102'), ('HCP21_5564', 3, 563, '+', '2099448103')]
135 	[('HCP21_2513', 142, 642, '-', '2099448104'), ('HCP21_6619', 2, 370, '-', '2099448105'), ('HCP21_6619', 351, 422, '-', '2099448106')]
136 	[('HCP21_3068', 45, 338, '-', '2099448108'), ('HCP21_3339', 56, 355, '-', '2099448109')]
137 	[('HCP21_4964', 3, 398, '+', '2099448110'), ('HCP21_1729', 2, 343, '+', '2099448111')]
138 	[('HCP21_4801', 2, 505, '+', '2099448119'), ('HCP21_7829', 6, 311, '+', '2099448120'), ('HCP21_3139', 1, 72, '+', '2099448121')]
139 	[('HCP21_5673', 3, 320, '+', '2099448123'), ('HCP21_2_26305', 1, 216, '+', '2099448124')]
140 	[('HCP21_8628', 2, 337, '-', '2099448127'), ('HCP21_3875', 1, 378, '-', '2099448128'), ('HCP21_10803', 19, 291, '-', '2099448129'), ('HCP21_10803', 309, 377, '-', '2099448130'), ('HCP21_1145', 84, 311, '-', '2099448131')]
141 	[('HCP21_6454', 123, 233, '-', '2099448137'), ('HCP21_6454', 221, 1570, '-', '2099448138'), ('HCP21_10691', 2, 76, '-', '2099448139')]
142 	[('HCP21_10691', 571, 726, '-', '2099448140'), ('HCP21_2739', 3, 337, '-', '2099448141')]
143 	[('HCP21_4375', 1, 510, '+', '2099448144'), ('HCP21_5459', 3, 539, '+', '2099448145'), ('HCP21_1819', 3, 341, '+', '2099448146')]
144 	[('HCP21_8657', 3, 317, '+', '2099448148'), ('HCP21_3215', 2, 349, '+', '2099448149')]
145 	[('HCP21_3650', 80, 586, '-', '2099448150'), ('HCP21_1_1_newblercontig07842', 99, 221, '-', '2099448151')]
146 	[('HCP21_2_473', 3, 98, '-', '2099448155'), ('HCP21_2_23306', 3, 151, '-', '2099448156'), ('HCP21_2_24806', 5, 175, '-', '2099448157'), ('HCP21_2_26806', 124, 234, '-', '2099448158'), ('HCP21_2_38531', 15, 218, '-', '2099448159'), ('HCP21_2_52133', 30, 182, '-', '2099448160'), ('HCP21_2_52633', 38, 187, '-', '2099448161')]
147 	[('HCP21_2_61019', 2, 106, '+', '2099448162'), ('HCP21_2_80662', 1, 195, '+', '2099448163'), ('HCP21_2_87816', 3, 128, '+', '2099448164')]
148 	[('HCP21_2_111087', 1, 123, '+', '2099448168'), ('HCP21_2_113087', 2, 127, '+', '2099448169')]
149 	[('HCP21_2_128835', 2, 147, '-', '2099448170'), ('HCP21_2_129335', 3, 155, '-', '2099448171')]
150 	[('HCP21_2_136014', 2, 109, '+', '2099448172'), ('HCP21_2_138014', 10, 117, '+', '2099448173'), ('HCP21_2_139014', 1, 124, '+', '2099448174'), ('HCP21_2_140514', 25, 132, '+', '2099448175'), ('HCP21_2_141014', 1, 135, '+', '2099448176'), ('HCP21_2_144514', 2, 163, '+', '2099448177'), ('HCP21_2_154367', 3, 113, '+', '2099448178'), ('HCP21_2_154867', 1, 114, '+', '2099448179'), ('HCP21_2_161367', 2, 190, '+', '2099448180')]
151 	[('HCP21_2_161867', 4, 135, '-', '2099448181'), ('HCP21_1932', 3, 62, '-', '2099448182')]
152 	[('HCP21_7669', 2, 1093, '+', '2099448184'), ('HCP21_9819', 2, 583, '+', '2099448185')]
153 	[('HCP21_1331', 255, 320, '-', '2099448191'), ('HCP21_3344', 106, 1083, '-', '2099448192')]
154 	[('HCP21_9383', 72, 332, '+', '2099448193'), ('HCP21_3294', 3, 143, '+', '2099448194'), ('HCP21_10403', 3, 260, '+', '2099448195'), ('HCP21_3074', 70, 723, '+', '2099448196')]
155 	[('HCP21_7899', 1, 546, '+', '2099448198'), ('HCP21_1436', 143, 430, '+', '2099448199'), ('HCP21_2173', 1, 231, '+', '2099448200'), ('HCP21_2173', 228, 326, '+', '2099448201'), ('HCP21_9221', 61, 357, '+', '2099448202'), ('HCP21_5798', 2, 568, '+', '2099448203'), ('HCP21_6346', 2, 82, '+', '2099448204'), ('HCP21_3297', 2, 388, '+', '2099448205'), ('HCP21_5680', 68, 364, '+', '2099448206'), ('HCP21_3271', 2, 475, '+', '2099448207'), ('HCP21_1_1_newblercontig04935', 2, 247, '+', '2099448208')]
156 	[('HCP21_1_1_newblercontig11124', 38, 160, '-', '2099448209'), ('HCP21_1_1_newblercontig13297', 3, 166, '-', '2099448210')]
157 	[('HCP21_2_5875', 2, 118, '+', '2099448211'), ('HCP21_2_7375', 1, 135, '+', '2099448212'), ('HCP21_2_20208', 2, 124, '+', '2099448213'), ('HCP21_2_22708', 11, 142, '+', '2099448214'), ('HCP21_2_24708', 1, 171, '+', '2099448215')]
158 	[('HCP21_2_26208', 2, 210, '-', '2099448216'), ('HCP21_2_30433', 3, 112, '-', '2099448217')]
159 	[('HCP21_2_38933', 3, 236, '+', '2099448218'), ('HCP21_2_41035', 2, 106, '+', '2099448219'), ('HCP21_2_47035', 3, 134, '+', '2099448220'), ('HCP21_2_52035', 10, 180, '+', '2099448221'), ('HCP21_2_53535', 3, 200, '+', '2099448222')]
160 	[('HCP21_2_77564', 12, 149, '+', '2099448226'), ('HCP21_2_78064', 1, 150, '+', '2099448227'), ('HCP21_2_78564', 54, 164, '+', '2099448228'), ('HCP21_2_81564', 36, 173, '+', '2099448229'), ('HCP21_2_83218', 1, 105, '+', '2099448230')]
161 	[('HCP21_2_85718', 3, 115, '-', '2099448231'), ('HCP21_2_86218', 4, 117, '-', '2099448232')]
162 	[('HCP21_2_96890', 2, 112, '+', '2099448235'), ('HCP21_2_101390', 2, 142, '+', '2099448236')]
163 	[('HCP21_2_109989', 2, 117, '-', '2099448239'), ('HCP21_2_128737', 16, 148, '-', '2099448240'), ('HCP21_2_129237', 3, 124, '-', '2099448241'), ('HCP21_2_131237', 3, 188, '-', '2099448242'), ('HCP21_2_138416', 3, 119, '-', '2099448243')]
