#Operon 	Genes in Operon
21 	[('16077161', 112800, 113453, '+', 'cysE'), ('16077162', 113450, 114850, '+', 'cysS'), ('16077163', 114854, 115285, '+', 'mrnC'), ('16077164', 115269, 116018, '+', 'rlmB'), ('16077165', 116025, 116537, '+', 'yacP')]
22 	[('16077167', 117349, 117498, '+', 'rpmG'), ('16077168', 117532, 117711, '+', 'secE')]
23 	[('255767021', 120061, 120561, '+', 'rplJ'), ('16077173', 120607, 120978, '+', 'rplL')]
24 	[('255767024', 129702, 130118, '+', 'rpsL'), ('255767025', 130160, 130630, '+', 'rpsG')]
25 	[('16077183', 135364, 135672, '+', 'rpsJ'), ('16077184', 135712, 136341, '+', 'rplC'), ('16077185', 136369, 136992, '+', 'rplD'), ('255767028', 136992, 137279, '+', 'rplW'), ('255767029', 137311, 138144, '+', 'rplB')]
26 	[('16077188', 138202, 138480, '+', 'rpsS'), ('16077189', 138497, 138838, '+', 'rplV'), ('255767030', 138842, 139498, '+', 'rpsC'), ('16077191', 139500, 139934, '+', 'rplP'), ('16077192', 139924, 140124, '+', 'rpmC'), ('16077193', 140147, 140410, '+', 'rpsQ'), ('16077194', 140451, 140819, '+', 'rplN'), ('16077195', 140857, 141168, '+', 'rplX'), ('16077196', 141195, 141734, '+', 'rplE'), ('16077197', 141757, 141942, '+', 'rpsN'), ('255767031', 141974, 142372, '+', 'rpsH'), ('16077199', 142402, 142941, '+', 'rplF'), ('255767032', 142974, 143336, '+', 'rplR'), ('16077201', 143361, 143861, '+', 'rpsE'), ('16077202', 143875, 144054, '+', 'rpmD'), ('16077203', 144085, 144525, '+', 'rplO'), ('16077204', 144527, 145822, '+', 'secY')]
27 	[('16077205', 145877, 146530, '+', 'adk'), ('16077206', 146527, 147273, '+', 'mapA'), ('255767033', 147312, 147536, '+', 'ybzG'), ('16077207', 147585, 147803, '+', 'infA'), ('16077208', 147837, 147950, '+', 'rpmJ'), ('255767034', 147973, 148338, '+', 'rpsM'), ('16077210', 148359, 148754, '+', 'rpsK')]
28 	[('255767035', 150443, 151288, '+', 'cbiO'), ('16077214', 151303, 152133, '+', 'cbiO'), ('255767036', 152130, 152927, '+', 'ybaF'), ('255767037', 152937, 153680, '+', 'truA')]
29 	[('255767038', 153842, 154279, '+', 'rplM'), ('16077218', 154300, 154692, '+', 'rpsI')]
30 	[('255767041', 179595, 180347, '-', 'ybbA'), ('255767042', 180344, 181354, '-', 'feuC'), ('16077230', 181347, 182351, '-', 'feuB'), ('16077231', 182370, 183323, '-', 'feuA')]
31 	[('16077233', 185194, 186438, '-', 'ybbC'), ('16077234', 186452, 188380, '-', 'ybbD'), ('255767043', 188408, 189733, '-', 'ybbE')]
32 	[('255767044', 189790, 191157, '-', 'ybbF'), ('16077237', 191183, 192034, '-', 'ybbH'), ('16077238', 192051, 192965, '-', 'murQ')]
33 	[('255767045', 193075, 193557, '-', 'ybbJ'), ('255767046', 193570, 194025, '-', 'ybbK')]
34 	[('16077241', 194849, 195412, '+', 'sigW'), ('16077242', 195426, 196052, '+', 'rsiW')]
35 	[('255767047', 196213, 197034, '+', 'ybbP'), ('255767048', 197027, 198478, '+', 'ybbR'), ('16077245', 198497, 199843, '+', 'glmM')]
36 	[('16077249', 203729, 204364, '+', 'adaA'), ('16077250', 204351, 204890, '+', 'adaB')]
37 	[('16077251', 205409, 206926, '+', 'ndhF'), ('255767049', 206941, 209556, '+', 'ybcC')]
38 	[('50812176', 214175, 215407, '+', 'skfB'), ('255767051', 215404, 216894, '+', 'skfC'), ('16077264', 216913, 217632, '+', 'skfE')]
39 	[('255767052', 217697, 219040, '+', 'skfF'), ('255767053', 219087, 219602, '+', 'skfG'), ('255767054', 219607, 220032, '+', 'skfH')]
40 	[('255767055', 220279, 221256, '+', 'ybdG'), ('16077269', 221258, 221929, '+', 'ybdJ'), ('16077270', 221950, 222912, '+', 'ybdK')]
41 	[('16077276', 228066, 228314, '+', 'csgA'), ('16077277', 228331, 228522, '+', 'ybxH')]
42 	[('16077285', 235965, 236882, '+', 'ybfA'), ('16077286', 236879, 238129, '+', 'ybfB')]
43 	[('16077290', 241917, 242837, '-', 'ybfH'), ('16077291', 242834, 243661, '-', 'ybfI')]
44 	[('16077293', 245190, 246131, '+', 'mpr'), ('16077294', 246094, 246492, '+', 'ybfJ')]
45 	[('16077296', 247744, 248277, '+', 'pssA'), ('16077297', 248268, 248756, '+', 'ybfM'), ('16077298', 248749, 249540, '+', 'psd')]
46 	[('16077304', 254907, 256802, '-', 'nagP'), ('16077305', 256823, 257572, '-', 'nagBB')]
47 	[('16077306', 257791, 258498, '+', 'ybgA'), ('16077307', 258532, 258807, '+', 'ybgB')]
48 	[('255767059', 262732, 264168, '-', 'glnT'), ('16077312', 264191, 265174, '-', 'ybgJ')]
49 	[('255767060', 265476, 266708, '+', 'glnJ'), ('16077314', 266719, 267663, '+', 'glnL')]
50 	[('255767061', 267890, 268816, '+', 'ycbC'), ('16077316', 268846, 270312, '+', 'ycbD')]
51 	[('255767062', 270396, 271763, '+', 'gudP'), ('255767063', 271800, 273167, '+', 'gudD')]
52 	[('16077322', 277160, 277321, '+', 'rtpA'), ('16077323', 277342, 278280, '+', 'ycbK')]
53 	[('255767066', 278377, 279057, '+', 'ycbL'), ('255767067', 279059, 279994, '+', 'ycbM')]
54 	[('255767068', 280086, 281009, '+', 'ycbN'), ('255767069', 281028, 281714, '+', 'ycbO')]
55 	[('255767072', 283816, 283992, '+', 'yczK'), ('255767073', 284011, 285762, '+', 'phoD'), ('255767074', 285775, 285987, '+', 'tatAD')]
56 	[('16077336', 288653, 290092, '-', 'lmrB'), ('16077337', 290132, 290698, '-', 'lmrA')]
57 	[('16077342', 294615, 295571, '-', 'natK'), ('16077343', 295584, 296285, '-', 'natR')]
58 	[('16077344', 296429, 297169, '+', 'natA'), ('16077345', 297170, 298330, '+', 'natB')]
59 	[('16077352', 305658, 306434, '+', 'ycdF'), ('16077353', 306459, 308144, '+', 'ycdG')]
60 	[('16077355', 309347, 310042, '+', 'adcC'), ('16077356', 310000, 310842, '+', 'adcB')]
61 	[('16077358', 312159, 312758, '+', 'yceC'), ('16077359', 312780, 313361, '+', 'yceD'), ('16077360', 313396, 313974, '+', 'yceE')]
62 	[('16077362', 314883, 316496, '+', 'yceG'), ('16077363', 316512, 317603, '+', 'yceH')]
63 	[('255767078', 321013, 322269, '+', 'opuAA'), ('16077368', 322271, 323119, '+', 'opuAB'), ('16077369', 323119, 324000, '+', 'opuAC')]
64 	[('255767083', 329774, 330739, '+', 'ldh'), ('255767084', 330771, 332396, '+', 'lctP')]
65 	[('16077389', 344551, 345462, '+', 'ycgM'), ('255767094', 345479, 347026, '+', 'ycgN')]
66 	[('16077393', 349996, 350853, '-', 'ycgQ'), ('16077394', 350858, 351742, '-', 'ycgR')]
67 	[('16077398', 355412, 355732, '-', 'nasE'), ('16077399', 355764, 358181, '-', 'nasD')]
68 	[('255767097', 358303, 360435, '-', 'nasC'), ('255767098', 360442, 362757, '-', 'nasB')]
69 	[('255767100', 364259, 365173, '+', 'yciA'), ('255767101', 365170, 365754, '+', 'yciB')]
70 	[('255767102', 365850, 366035, '+', 'yczL'), ('16077405', 366063, 367256, '+', 'yciC')]
71 	[('16077406', 367305, 367985, '-', 'yckA'), ('16077407', 367995, 368858, '-', 'yckB')]
72 	[('16077411', 371729, 372127, '-', 'nin'), ('50812179', 372154, 372597, '-', 'nucA')]
73 	[('16077414', 374603, 375160, '-', 'hxlB'), ('16077415', 375166, 375798, '-', 'hxlA')]
74 	[('255767105', 376968, 387731, '+', 'srfAA'), ('255767106', 387744, 398495, '+', 'srfAB'), ('16077419', 390880, 391020, '+', 'comS')]
75 	[('255767107', 398532, 402359, '+', 'srfAC'), ('16077421', 402388, 403116, '+', 'srfAD')]
76 	[('255767111', 409208, 409951, '-', 'tcyC'), ('16077428', 409965, 410669, '-', 'tcyB'), ('255767112', 410656, 411462, '-', 'tcyA')]
77 	[('16077431', 412540, 413154, '+', 'yclB'), ('16077432', 413157, 414578, '+', 'ubiD'), ('255767113', 414595, 414822, '+', 'bsdD'), ('255767114', 414819, 415283, '+', 'yclD')]
78 	[('16077438', 420110, 421744, '+', 'gerKA'), ('16077439', 421734, 422957, '+', 'gerKC'), ('16077440', 422982, 424103, '+', 'gerKB')]
79 	[('16077441', 424208, 424888, '-', 'yclH'), ('255767117', 424904, 426364, '-', 'yclI')]
80 	[('16077443', 426577, 427260, '+', 'yclJ'), ('16077444', 427247, 428668, '+', 'yclK')]
81 	[('16077445', 428831, 429979, '+', 'rapC'), ('16077446', 429963, 430085, '+', 'phrC')]
82 	[('16077448', 432372, 433322, '+', 'yclN'), ('16077449', 433315, 434262, '+', 'yclO'), ('16077450', 434256, 435014, '+', 'yclP'), ('16077451', 435036, 435989, '+', 'yclQ')]
83 	[('16077452', 436036, 437454, '-', 'ycnB'), ('255767120', 437474, 438352, '-', 'ycnC')]
84 	[('16077454', 438516, 439265, '-', 'ycnD'), ('16077455', 439282, 439569, '-', 'ycnE')]
85 	[('16077460', 444461, 445324, '+', 'glcU'), ('16077461', 445344, 446129, '+', 'gdh')]
86 	[('16077462', 446174, 446788, '-', 'ycnI'), ('255767121', 446801, 448426, '-', 'ycnJ'), ('16077464', 448461, 449033, '-', 'ycnK')]
87 	[('255767122', 449724, 451160, '+', 'mtlA'), ('255767123', 451185, 451616, '+', 'mtlF'), ('255767124', 451618, 452739, '+', 'mtlD')]
88 	[('255767129', 457023, 457796, '+', 'ycsF'), ('255767130', 457811, 459025, '+', 'ycsG'), ('255767131', 459049, 459822, '+', 'ycsI'), ('50812186', 459867, 460589, '+', 'kipI'), ('255767132', 460592, 461599, '+', 'kipA'), ('255767133', 461615, 462367, '+', 'kipR')]
89 	[('16077486', 471709, 472569, '+', 'ydaD'), ('16077487', 472585, 473088, '+', 'ydaE')]
90 	[('16077494', 478944, 480032, '+', 'ydaJ'), ('16077495', 480013, 480864, '+', 'ydaK'), ('16077496', 480875, 482584, '+', 'ydaL'), ('16077497', 482577, 483839, '+', 'ydaM'), ('16077498', 483845, 485956, '+', 'ydaN')]
91 	[('16077508', 495009, 495350, '+', 'ydbB'), ('16077509', 495344, 495703, '+', 'ydbC')]
92 	[('16077512', 497768, 499375, '+', 'dctS'), ('16077513', 499365, 500045, '+', 'dctR')]
93 	[('16077516', 502908, 503834, '+', 'ydbJ'), ('16077517', 503854, 504594, '+', 'ydbK')]
94 	[('16077526', 512814, 513293, '+', 'ydbS'), ('16077527', 513283, 514764, '+', 'ydbT')]
95 	[('16077532', 518657, 518938, '+', 'endB'), ('16077533', 518943, 519293, '+', 'ndoA')]
96 	[('16077534', 519408, 520232, '+', 'rsbRA'), ('16077535', 520237, 520602, '+', 'rsbS'), ('16077536', 520606, 521007, '+', 'rsbT'), ('16077537', 521019, 522026, '+', 'rsbU')]
97 	[('16077538', 522088, 522417, '+', 'rsbV'), ('16077539', 522414, 522896, '+', 'rsbW'), ('255767137', 522862, 523650, '+', 'sigB'), ('16077541', 523650, 524249, '+', 'rsbX')]
98 	[('16077542', 524492, 524785, '+', 'ydcF'), ('16077543', 524782, 525222, '+', 'ydcG'), ('16077544', 525206, 525649, '+', 'ydcH')]
99 	[('16077547', 529505, 530611, '-', 'ydcL'), ('16077548', 530624, 531133, '-', 'immA'), ('16077549', 531130, 531513, '-', 'immR')]
100 	[('16077550', 531787, 531981, '+', 'sacV'), ('255767138', 531978, 532238, '+', 'ydzL')]
101 	[('16077552', 532922, 533302, '+', 'ydcP'), ('16077553', 533338, 534780, '+', 'ydcQ'), ('16077554', 534773, 535831, '+', 'ydcR')]
102 	[('16077555', 536096, 536365, '+', 'ydcS'), ('16077556', 536404, 536670, '+', 'ydcT'), ('16077557', 536687, 536995, '+', 'yddA'), ('16077558', 536985, 538049, '+', 'yddB'), ('16077559', 538061, 538309, '+', 'yddC'), ('16077560', 538322, 538846, '+', 'yddD'), ('255767139', 538836, 541229, '+', 'yddE'), ('16077562', 541248, 541574, '+', 'yddF'), ('16077563', 541578, 544025, '+', 'yddG'), ('16077564', 544022, 545011, '+', 'yddH'), ('16077565', 545026, 545532, '+', 'yddI')]
103 	[('16077568', 547306, 548481, '+', 'rapI'), ('16077569', 548438, 548557, '+', 'phrI')]
104 	[('255767140', 556562, 556738, '+', 'ydzM'), ('16077577', 556763, 557449, '+', 'yddT')]
105 	[('16077600', 579541, 579876, '+', 'aseR'), ('16077601', 579889, 581196, '+', 'ydfA')]
106 	[('255767143', 587157, 587336, '-', 'ydzP'), ('255767144', 587333, 587476, '-', 'ydzQ')]
107 	[('16077608', 587744, 588967, '+', 'ydfH'), ('16077609', 588960, 589601, '+', 'ydfI')]
108 	[('16077615', 596478, 597098, '+', 'ydfN'), ('16077616', 597114, 598052, '+', 'ydfO')]
109 	[('16077622', 601741, 602172, '-', 'cotP'), ('16077623', 602185, 602427, '-', 'ydgA'), ('16077624', 602441, 602713, '-', 'ydgB')]
110 	[('16077625', 603012, 603599, '+', 'ydgC'), ('16077626', 603596, 603940, '+', 'ydgD')]
111 	[('16077631', 608933, 609391, '+', 'ydgG'), ('16077632', 609388, 612045, '+', 'ydgH')]
112 	[('16077633', 612191, 612820, '-', 'ydgI'), ('16077634', 612836, 613330, '-', 'ydgJ')]
113 	[('16077643', 622293, 622790, '-', 'ydhH'), ('16077644', 622808, 623290, '-', 'ydhI')]
114 	[('16077648', 626622, 626933, '+', 'gmuB'), ('255767151', 626933, 627265, '+', 'gmuA'), ('16077650', 627284, 628612, '+', 'gmuC'), ('16077651', 628630, 630027, '+', 'gmuD')]
115 	[('16077652', 630170, 630883, '+', 'gmuR'), ('16077653', 630912, 631811, '+', 'gmuE'), ('16077654', 631808, 632755, '+', 'gmuF'), ('255767152', 632774, 633862, '+', 'gmuG')]
116 	[('16077657', 640662, 641639, '+', 'thiL'), ('16077658', 641654, 642130, '+', 'ydiB'), ('16077659', 642111, 642800, '+', 'ydiC'), ('16077660', 642810, 643265, '+', 'rimI'), ('16077661', 643258, 644298, '+', 'gcp')]
117 	[('16077663', 646582, 647094, '+', 'moaC'), ('16077664', 647091, 647738, '+', 'ydiH'), ('16077665', 647760, 647933, '+', 'tatAY'), ('16077666', 647940, 648704, '+', 'tatCY')]
118 	[('16077667', 648742, 648933, '-', 'ydiK'), ('16077668', 648930, 649664, '-', 'ydiL')]
119 	[('50812190', 649903, 650187, '+', 'groES'), ('16077670', 650234, 651868, '+', 'groEL')]
120 	[('16077673', 655223, 656506, '+', 'ydiO'), ('16077674', 656528, 657697, '+', 'ydiP')]
121 	[('16077676', 659623, 660564, '+', 'ydiR'), ('16077677', 660596, 661627, '+', 'ydiS'), ('16077678', 661630, 663027, '+', 'ydjA')]
122 	[('16077686', 671994, 673019, '+', 'ydjG'), ('16077687', 673019, 673783, '+', 'ydjH'), ('16077688', 673814, 674785, '+', 'ydjI')]
123 	[('16077695', 681547, 682362, '-', 'ydjP'), ('16077696', 682375, 683364, '-', 'yeaA')]
124 	[('255767156', 685155, 686564, '-', 'gabP'), ('255767157', 686602, 686889, '-', 'ydzX')]
125 	[('255767158', 688184, 689146, '+', 'yeaC'), ('255767159', 689146, 690342, '+', 'yeaD'), ('255767160', 690364, 692577, '+', 'yebA')]
126 	[('50812193', 697538, 698092, '+', 'yebE'), ('16077709', 698092, 698289, '+', 'yebG')]
127 	[('16077710', 698612, 699100, '+', 'purE'), ('255767163', 699093, 700235, '+', 'purK'), ('16077712', 700232, 701527, '+', 'purB')]
128 	[('16077713', 701601, 702326, '+', 'purC'), ('16077714', 702319, 702573, '+', 'purS'), ('16077715', 702570, 703253, '+', 'purQ'), ('255767164', 703237, 705465, '+', 'purL'), ('255767165', 705441, 706871, '+', 'purF')]
129 	[('255767166', 706973, 708013, '+', 'purM'), ('255767167', 708010, 708597, '+', 'purN'), ('255767168', 708594, 710132, '+', 'purH'), ('16077721', 710148, 711416, '+', 'purD')]
130 	[('16077724', 713664, 715406, '+', 'yerA'), ('16077725', 715433, 716428, '+', 'yerB'), ('16077726', 716431, 716745, '+', 'yerC')]
131 	[('16077729', 719370, 721589, '+', 'pcrA'), ('16077730', 721613, 723619, '+', 'ligA'), ('16077731', 723635, 724825, '+', 'yerH')]
132 	[('16077735', 728732, 729022, '+', 'gatC'), ('16077736', 729038, 730495, '+', 'gatA'), ('50812194', 730509, 731939, '+', 'gatB')]
133 	[('16077744', 740288, 742927, '+', 'yeeA'), ('255767173', 742939, 744738, '+', 'yeeB')]
134 	[('255767175', 747079, 747534, '-', 'yezG'), ('255767176', 747554, 749563, '-', 'yeeF')]
135 	[('255767178', 750959, 752089, '+', 'rapH'), ('255767179', 752079, 752252, '+', 'phrH')]
136 	[('16077754', 754480, 754923, '+', 'yesE'), ('16077755', 754920, 755780, '+', 'yesF')]
137 	[('16077756', 755907, 756155, '+', 'cotJA'), ('255767181', 756139, 756402, '+', 'cotJB'), ('16077758', 756417, 756986, '+', 'cotJC')]
138 	[('16077759', 757111, 757653, '+', 'yesJ'), ('255767182', 757676, 757978, '+', 'yesK')]
139 	[('16077761', 758093, 758722, '+', 'yesL'), ('16077762', 758719, 760452, '+', 'yesM'), ('16077763', 760452, 761558, '+', 'yesN')]
140 	[('255767183', 761662, 762945, '+', 'yesO'), ('16077765', 762942, 763871, '+', 'yesP'), ('16077766', 763875, 764765, '+', 'yesQ'), ('16077767', 764781, 765815, '+', 'yesR'), ('16077768', 765838, 768123, '+', 'yesS'), ('16077769', 768137, 768835, '+', 'rhgT'), ('16077770', 768828, 769490, '+', 'yesU'), ('16077771', 769487, 770113, '+', 'yesV')]
141 	[('16077772', 770234, 772096, '+', 'yesW'), ('16077773', 772142, 773980, '+', 'yesX')]
142 	[('16077774', 774138, 774791, '+', 'yesY'), ('16077775', 774799, 776790, '+', 'yesZ'), ('255767184', 776834, 779407, '+', 'yetA')]
143 	[('16077778', 781092, 782048, '+', 'lplB'), ('16077779', 782062, 782949, '+', 'lplC'), ('16077780', 782958, 784298, '+', 'lplD')]
144 	[('16077787', 787992, 788636, '+', 'yetJ'), ('16077788', 788636, 789628, '+', 'yetK')]
145 	[('16077795', 799303, 800208, '+', 'yfnG'), ('16077796', 800232, 801143, '+', 'yfnF'), ('16077797', 801172, 802350, '+', 'yfnE'), ('16077798', 802351, 803286, '+', 'yfnD')]
146 	[('16077802', 807091, 808548, '+', 'yfmT'), ('16077803', 808562, 809422, '+', 'yfmS')]
147 	[('16077816', 822903, 823703, '-', 'yfmF'), ('16077817', 823716, 824717, '-', 'yfmE'), ('16077818', 824714, 825715, '-', 'yfmD')]
148 	[('16077821', 827252, 827419, '+', 'yfmA'), ('16077822', 827455, 827802, '+', 'yflT')]
149 	[('16077825', 830945, 832573, '+', 'citS'), ('16077826', 832545, 833225, '+', 'citT'), ('255767186', 833228, 834187, '+', 'yflP')]
150 	[('16077839', 844097, 844234, '+', 'yflD'), ('255767188', 844253, 844645, '+', 'yflB')]
151 	[('16077843', 846182, 847258, '-', 'yfkT'), ('16077844', 847282, 847482, '-', 'yfkS'), ('16077845', 847498, 848652, '-', 'yfkR'), ('16077846', 848633, 850174, '-', 'yfkQ')]
152 	[('16077848', 851850, 853535, '+', 'treA'), ('16077849', 853556, 854272, '+', 'treR')]
153 	[('16077855', 862004, 862474, '+', 'yfkJ'), ('16077856', 862492, 862812, '+', 'yfkI'), ('16077857', 862836, 863663, '+', 'yfkH')]
154 	[('16077861', 867164, 868006, '-', 'yfkC'), ('255767189', 868007, 869128, '-', 'yfkA')]
155 	[('16077871', 877599, 878051, '+', 'yfjM'), ('16077872', 878081, 878770, '+', 'yfjL')]
156 	[('16077873', 879002, 880003, '+', 'acoA'), ('16077874', 880007, 881035, '+', 'acoB'), ('16077875', 881049, 882245, '+', 'acoC'), ('16077876', 882266, 883642, '+', 'acoL')]
157 	[('16077881', 886775, 887332, '-', 'yfjD'), ('16077882', 887364, 888131, '-', 'yfjC'), ('16077883', 888143, 889366, '-', 'yfjB'), ('16077884', 889372, 889686, '-', 'yfjA')]
158 	[('16077886', 891436, 892200, '+', 'malR'), ('16077887', 892215, 893798, '+', 'malP')]
159 	[('16077888', 893904, 895625, '+', 'malQ'), ('16077889', 895619, 897433, '+', 'yfiC')]
160 	[('16077890', 897588, 897992, '+', 'catD'), ('255767192', 898010, 898867, '+', 'catE')]
161 	[('16077893', 900080, 901528, '+', 'yfiG'), ('16077894', 901555, 902496, '+', 'yfiH'), ('16077895', 902506, 903687, '+', 'yfiI')]
162 	[('16077896', 903811, 905013, '+', 'yfiJ'), ('16077897', 905010, 905672, '+', 'yfiK')]
163 	[('255767193', 905816, 906751, '+', 'yfiL'), ('16077899', 906764, 907954, '+', 'yfiM'), ('16077900', 907968, 909125, '+', 'yfiN')]
164 	[('16077904', 911964, 912581, '-', 'yfiR'), ('16077905', 912547, 913800, '-', 'yfiS')]
165 	[('16077912', 920474, 921475, '+', 'yfiZ'), ('16077913', 921472, 922503, '+', 'yfhA')]
166 	[('16077919', 925633, 926427, '+', 'recX'), ('16077920', 926429, 926743, '+', 'yfhH')]
167 	[('16077924', 929406, 929738, '+', 'yfhL'), ('16077925', 929725, 930585, '+', 'yfhM')]
168 	[('255767205', 961394, 962161, '+', 'ssuB'), ('16077949', 962179, 963177, '+', 'ssuA'), ('16077950', 963174, 964004, '+', 'ssuC'), ('50812205', 964027, 965157, '+', 'ssuD')]
169 	[('16077954', 966196, 966669, '-', 'ygaO'), ('255767206', 966671, 966871, '-', 'ygzD')]
170 	[('16077957', 969162, 970097, '+', 'yhbB'), ('255767208', 970135, 970617, '+', 'cspR')]
171 	[('16077959', 970667, 971383, '+', 'yhbD'), ('16077960', 971374, 972087, '+', 'yhbE'), ('255767209', 972099, 972806, '+', 'yhbF')]
172 	[('16077964', 976569, 977033, '+', 'yhbI'), ('16077965', 977069, 977734, '+', 'yhbJ'), ('16077966', 977775, 979373, '+', 'yhcA'), ('16077967', 979396, 979926, '+', 'yhcB'), ('16077968', 979939, 980313, '+', 'yhcC'), ('16077969', 980313, 980468, '+', 'yhcD'), ('16077970', 980473, 981234, '+', 'yhcE'), ('16077971', 981237, 981602, '+', 'yhcF'), ('16077972', 981604, 982302, '+', 'yhcG'), ('16077973', 982319, 983236, '+', 'yhcH'), ('16077974', 983229, 984170, '+', 'yhcI')]
173 	[('16077984', 991348, 995001, '+', 'yhcR'), ('16077985', 994998, 995594, '+', 'yhcS')]
174 	[('16077989', 997724, 998386, '+', 'yhcW'), ('255767215', 998402, 999943, '+', 'yhcX')]
175 	[('255767216', 1000364, 1001716, '+', 'yhxA'), ('16077992', 1001744, 1002322, '+', 'glpP')]
176 	[('16077993', 1002501, 1003325, '+', 'glpF'), ('255767217', 1003344, 1004834, '+', 'glpK')]
177 	[('16077997', 1008668, 1009807, '+', 'yhcY'), ('16077998', 1009804, 1010448, '+', 'yhcZ'), ('16077999', 1010445, 1010969, '+', 'yhdA')]
178 	[('16078015', 1028233, 1028523, '-', 'yhdK'), ('16078016', 1028511, 1029587, '-', 'yhdL'), ('16078017', 1029577, 1030068, '-', 'sigM')]
179 	[('16078025', 1036953, 1037309, '-', 'crcBA'), ('16078026', 1037306, 1037701, '-', 'yhdV'), ('16078027', 1037688, 1038419, '-', 'yhdW')]
180 	[('16078036', 1045318, 1047075, '+', 'yheI'), ('16078037', 1047072, 1049093, '+', 'yheH')]
181 	[('16078038', 1049142, 1049762, '-', 'yheG'), ('16078039', 1049801, 1049926, '-', 'yheF')]
182 	[('255767225', 1050811, 1052172, '-', 'yheD'), ('16078043', 1052162, 1053253, '-', 'yheC')]
183 	[('255767226', 1059203, 1060420, '-', 'yhaU'), ('16078050', 1060427, 1060924, '-', 'khtT')]
184 	[('255767229', 1062591, 1063487, '+', 'natA'), ('255767230', 1063480, 1064739, '+', 'natB')]
185 	[('16078055', 1064846, 1066072, '+', 'yhaO'), ('16078056', 1066077, 1068968, '+', 'yhaN')]
186 	[('16078068', 1077440, 1078183, '+', 'ecsA'), ('16078069', 1078176, 1079402, '+', 'ecsB'), ('16078070', 1079422, 1080132, '+', 'ecsC')]
187 	[('16078073', 1082870, 1083184, '-', 'yhgB'), ('16078074', 1083229, 1083729, '-', 'yhgC')]
188 	[('16078077', 1087250, 1088182, '+', 'hemH'), ('16078078', 1088197, 1089609, '+', 'hemY')]
189 	[('16078084', 1095063, 1096103, '+', 'yhfE'), ('16078085', 1096116, 1096523, '+', 'yhfF')]
190 	[('16078088', 1098412, 1099146, '+', 'yhfI'), ('16078089', 1099159, 1100154, '+', 'yhfJ')]
191 	[('16078099', 1109388, 1110482, '-', 'yhfS'), ('16078100', 1110479, 1111918, '-', 'yhfT'), ('16078101', 1111925, 1112485, '-', 'bioY')]
