Symbol	Degree	Clustering Coefficient
ACAA2	1	0.0
ACACA	12	0.257575757576
ACACB	2	1.0
ACAD10	1	0.0
ACAD11	1	0.0
ACAD8	1	0.0
ACAD9	3	0.333333333333
ACADL	1	0.0
ACADM	5	0.4
ACADSB	2	1.0
ACADVL	5	0.0
ACAN	6	0.0666666666667
ACAP1	1	0.0
ACAP2	1	0.0
ACAP3	2	0.0
ACAT1	6	0.266666666667
ACAT2	1	0.0
ACBD3	2	1.0
ACBD5	1	0.0
ACBD6	3	0.666666666667
ACCN1	3	0.333333333333
ACCN2	3	0.0
ACCN3	7	0.0952380952381
ACCS	3	0.0
ACD	7	0.857142857143
ACE	1	0.0
ACE2	1	0.0
ACHE	2	0.0
ACIN1	14	0.373626373626
ACLY	16	0.15
ACMSD	1	0.0
ACO1	3	0.666666666667
ACO2	4	0.5
ACOT13	2	1.0
ACOT2	2	0.0
ACOT7	2	1.0
ACOT8	2	1.0
ACOT9	4	0.166666666667
ACOX1	2	1.0
ACOX3	1	0.0
ACP1	10	0.177777777778
ACP2	1	0.0
ACP5	7	0.0
ACP6	9	0.111111111111
ACPP	3	0.0
ACR	2	0.0
ACSBG1	1	0.0
ACSF2	1	0.0
ACSF3	2	1.0
ACSL1	1	0.0
ACSL3	6	0.333333333333
ACSL4	4	0.333333333333
ACSL5	1	0.0
ACSM3	1	0.0
ACSS2	1	0.0
ACT1	1	0.0
ACTA1	65	0.0471153846154
ACTA2	9	0.25
ACTB	90	0.0619122257053
ACTBL2	6	0.466666666667
ACTC1	16	0.191666666667
ACTG1	47	0.115151515152
ACTG2	6	0.4
ACTL6A	48	0.247340425532
ACTL6B	10	0.266666666667
ACTL7A	2	0.0
ACTL8	1	0.0
ACTN1	37	0.0705882352941
ACTN2	26	0.0615384615385
ACTN3	2	1.0
ACTN4	29	0.0837438423645
ACTR10	6	0.0
ACTR1A	13	0.179487179487
ACTR1B	9	0.0833333333333
ACTR2	9	0.277777777778
ACTR3	16	0.208333333333
ACTR3B	12	0.0757575757576
ACTR5	16	0.825
ACTR6	4	0.833333333333
ACTR8	15	0.92380952381
ACVR1	51	0.0196078431373
ACVR1B	19	0.204678362573
ACVR1C	1	0.0
ACVR2A	12	0.136363636364
ACVR2B	14	0.131868131868
ACVRL1	4	0.0
ACY1	4	1.0
ACYP1	1	0.0
ADA	5	0.2
ADA2	1	0.0
ADAM1	1	0.0
ADAM10	5	0.3
ADAM11	1	0.0
ADAM12	4	0.0
ADAM15	10	0.222222222222
ADAM17	5	0.3
ADAM19	3	0.0
ADAM2	3	0.0
ADAM22	2	1.0
ADAM33	1	0.0
ADAM9	6	0.4
ADAMTS1	4	0.0
ADAMTS10	7	0.047619047619
ADAMTS2	1	0.0
ADAMTS4	1	0.0
ADAMTS5	1	0.0
ADAMTSL4	11	0.163636363636
ADAP1	12	0.166666666667
ADAP2	5	0.0
ADAR	8	0.428571428571
ADARB1	4	0.5
ADAT1	1	0.0
ADAT3	1	0.0
ADCK2	2	1.0
ADCK3	6	0.266666666667
ADCK4	1	0.0
ADCY2	1	0.0
ADCY3	1	0.0
ADCY5	6	0.0
ADCY6	3	0.333333333333
ADCY7	1	0.0
ADCY8	1	0.0
ADCY9	1	0.0
ADCYAP1	2	1.0
ADD1	17	0.205882352941
ADD2	3	0.333333333333
ADD3	1	0.0
ADH5	7	0.6
ADH5P4	1	0.0
ADH7	2	0.0
ADI1	3	0.333333333333
ADIPOR1	1	0.0
ADK	1	0.0
ADNP	10	0.511111111111
ADNP2	5	0.7
ADO	1	0.0
ADORA1	5	0.1
ADORA2A	8	0.0
ADORA2B	2	1.0
ADORA3	2	1.0
ADPRHL2	3	0.0
ADRA1B	1	0.0
ADRA2A	1	0.0
ADRA2B	2	0.0
ADRA2C	2	0.0
ADRB1	3	0.0
ADRB2	24	0.108225108225
ADRB3	1	0.0
ADRBK1	24	0.0833333333333
ADRBK2	5	0.3
ADRM1	17	0.397058823529
ADSL	5	0.4
ADSS	2	0.0
AEBP1	1	0.0
AEBP2	9	0.527777777778
AEN	1	0.0
AES	19	0.139705882353
AFAP1	8	0.0
AFAP1L1	1	0.0
AFF1	22	0.278947368421
AFF3	1	0.0
AFF4	10	0.577777777778
AFG3L2	8	0.178571428571
AFP	3	0.0
AFTPH	1	0.0
AGA	2	0.0
AGAP1	3	0.0
AGAP2	4	0.0
AGAP3	1	0.0
AGBL2	3	0.0
AGER	1	0.0
AGFG1	9	0.194444444444
AGFG2	4	0.333333333333
AGGF1	5	0.1
AGK	4	0.333333333333
AGL	5	0.4
AGO1	1	0.0
AGO4	1	0.0
AGPAT2	1	0.0
AGPAT3	1	0.0
AGPAT4	1	0.0
AGPAT5	2	1.0
AGPAT6	1	0.0
AGPAT9	1	0.0
AGPHD1	1	0.0
AGPS	3	0.666666666667
AGR2	8	0.0
AGR3	5	0.0
AGRN	4	0.333333333333
AGRP	1	0.0
AGT	4	0.166666666667
AGTPBP1	3	0.666666666667
AGTR1	9	0.0555555555556
AGTR2	2	0.0
AGTRAP	8	0.133333333333
AGXT2L1	1	0.0
AGXT2L2	2	0.0
AHCTF1	6	0.2
AHCTF1P1	1	0.0
AHCY	9	0.194444444444
AHCYL1	6	0.333333333333
AHCYL2	4	0.5
AHDC1	2	1.0
AHI1	1	0.0
AHNAK	12	0.106060606061
AHNAK2	1	0.0
AHR	26	0.252307692308
AHRR	5	0.6
AHSA1	6	0.333333333333
AHSA2	1	0.0
AHSG	9	0.0833333333333
AHSP	3	0.0
AI837181	63	0.00563236047107
AICDA	7	0.047619047619
AIDA	1	0.0
AIF1	3	1.0
AIF1L	2	0.0
AIFM1	27	0.0541310541311
AIFM2	2	1.0
AIM1L	1	0.0
AIM46	1	0.0
AIM9	1	0.0
AIMP1	4	0.5
AIMP2	37	0.072268907563
AIP	11	0.272727272727
AIPL1	1	0.0
AIRE	48	0.0541062801932
AJAP1	2	1.0
AJUBA	8	0.214285714286
AK1	5	0.4
AK2	3	0.666666666667
AK4	1	0.0
AK5	8	0.0
AK7	1	0.0
AKAP1	10	0.2
AKAP10	3	0.0
AKAP11	9	0.277777777778
AKAP12	8	0.25
AKAP13	14	0.142857142857
AKAP14	1	0.0
AKAP17A	5	0.2
AKAP2	2	1.0
AKAP3	6	0.133333333333
AKAP4	5	0.1
AKAP5	12	0.136363636364
AKAP6	8	0.142857142857
AKAP7	3	0.333333333333
AKAP8	13	0.0897435897436
AKAP8L	13	0.25641025641
AKAP9	22	0.108225108225
AKIP1	6	0.2
AKIRIN2	4	0.333333333333
AKNA	1	0.0
AKR1A1	2	1.0
AKR1B1	2	0.0
AKR1B10	1	0.0
AKR1C1	2	0.0
AKR1C2	2	0.0
AKR1C3	6	0.266666666667
AKR7A2	3	0.333333333333
AKR7A3	3	0.0
AKR7L	1	0.0
AKT1	117	0.0558502799882
AKT1S1	4	0.0
AKT2	14	0.164835164835
AKT3	7	0.190476190476
AKTIP	22	0.00865800865801
ALAD	1	0.0
ALAS1	9	0.25
ALAS2	2	0.0
ALB	16	0.116666666667
ALB1	1	0.0
ALCAM	2	0.0
ALDH16A1	4	0.333333333333
ALDH18A1	11	0.0727272727273
ALDH1A1	3	0.0
ALDH1A2	1	0.0
ALDH1A3	1	0.0
ALDH1B1	2	1.0
ALDH1L2	1	0.0
ALDH2	11	0.218181818182
ALDH2C4	1	0.0
ALDH3A2	6	0.0666666666667
ALDH3B1	1	0.0
ALDH3B2	1	0.0
ALDH4A1	1	0.0
ALDH5A1	1	0.0
ALDH7A1	3	0.666666666667
ALDH9A1	6	0.333333333333
ALDOA	19	0.163742690058
ALDOB	1	0.0
ALDOC	2	1.0
ALG1	1	0.0
ALG10	1	0.0
ALG10B	2	1.0
ALG11	1	0.0
ALG13	1	0.0
ALG14	1	0.0
ALG2	15	0.25641025641
ALG3	1	0.0
ALG5	1	0.0
ALG8	2	1.0
ALG9	1	0.0
ALK	42	0.0301974448316
ALKBH1	2	1.0
ALKBH2	2	1.0
ALKBH5	2	1.0
ALKBH7	1	0.0
ALL1	18	0.529411764706
ALMS1	1	0.0
ALOX12	4	0.0
ALOX5	4	0.0
ALOXE3	1	0.0
ALPI	3	0.0
ALPK1	1	0.0
ALPP	13	0.0
ALPPL2	2	0.0
ALS2	2	1.0
ALS2CL	2	1.0
ALS2CR11	5	0.0
ALS2CR12	1	0.0
ALS2CR8	2	0.0
ALX1	1	0.0
ALX4	11	0.0
AMBP	9	0.142857142857
AMBRA1	14	0.252747252747
AMD1	3	0.0
AMDHD1	1	0.0
AMDHD2	1	0.0
AMFR	65	0.0701484895033
AMH	1	0.0
AMHR2	1	0.0
AMIGO1	4	1.0
AMIGO2	6	0.333333333333
AMIGO3	4	1.0
AMMECR1	1	0.0
AMMECR1L	2	1.0
AMOT	26	0.0769230769231
AMOTL1	3	1.0
AMOTL2	12	0.222222222222
AMPD2	2	1.0
AMPD3	2	1.0
AMPH	34	0.0713012477718
AMY1A	4	0.0
AMZ2	1	0.0
ANAPC1	32	0.377016129032
ANAPC10	22	0.233766233766
ANAPC11	16	0.475
ANAPC13	9	0.0
ANAPC16	12	0.19696969697
ANAPC2	29	0.330049261084
ANAPC4	33	0.405303030303
ANAPC5	33	0.289772727273
ANAPC7	33	0.329545454545
ANG	4	0.0
ANGEL1	1	0.0
ANGEL2	1	0.0
ANGPT1	1	0.0
ANGPT2	4	0.166666666667
ANGPT4	2	1.0
ANGPTL4	4	0.833333333333
ANGPTL7	2	0.0
ANIB1	1	0.0
ANK1	9	0.0555555555556
ANK2	5	0.3
ANK3	8	0.107142857143
ANKFY1	7	0.285714285714
ANKH	1	0.0
ANKHD1	3	0.0
ANKHD1-EIF4EBP3	2	1.0
ANKIB1	2	1.0
ANKLE1	2	1.0
ANKLE2	5	0.6
ANKMY2	1	0.0
ANKRA2	12	0.136363636364
ANKRD1	3	0.666666666667
ANKRD10	1	0.0
ANKRD11	6	0.666666666667
ANKRD12	2	0.0
ANKRD13A	2	1.0
ANKRD13B	2	1.0
ANKRD13C	1	0.0
ANKRD13D	2	1.0
ANKRD17	5	0.3
ANKRD18A	2	1.0
ANKRD18B	1	0.0
ANKRD18DP	1	0.0
ANKRD2	8	0.107142857143
ANKRD22	2	0.0
ANKRD23	2	1.0
ANKRD24	4	0.0
ANKRD26	1	0.0
ANKRD27	2	1.0
ANKRD28	7	0.238095238095
ANKRD30A	1	0.0
ANKRD32	3	1.0
ANKRD35	2	1.0
ANKRD36BP1	3	0.333333333333
ANKRD37	1	0.0
ANKRD39	1	0.0
ANKRD40	2	1.0
ANKRD42	1	0.0
ANKRD44	2	0.0
ANKRD46	1	0.0
ANKRD5	2	1.0
ANKRD52	5	0.0
ANKRD53	1	0.0
ANKRD55	1	0.0
ANKRD57	2	1.0
ANKRD6	3	0.333333333333
ANKS1A	4	0.666666666667
ANKS1B	2	0.0
ANKZF1	3	0.0
ANLN	5	0.3
ANO1	1	0.0
ANO10	1	0.0
ANO2	1	0.0
ANO5	1	0.0
ANO6	1	0.0
ANP32A	19	0.263157894737
ANP32AP1	1	0.0
ANP32B	6	0.333333333333
ANP32E	5	0.5
ANPEP	1	0.0
ANTXR1	2	0.0
ANTXR2	1	0.0
ANXA1	37	0.0890756302521
ANXA10	1	0.0
ANXA11	13	0.115384615385
ANXA13	1	0.0
ANXA2	28	0.137566137566
ANXA2P2	4	0.5
ANXA3	5	0.2
ANXA4	8	0.178571428571
ANXA5	14	0.142857142857
ANXA6	12	0.136363636364
ANXA7	101	0.0188118811881
ANXA8	2	0.0
ANXA8L1	1	0.0
ANXA8L2	2	0.0
ANXA9	4	0.166666666667
AOX1	1	0.0
AP1AR	1	0.0
AP1B1	16	0.233333333333
AP1G1	20	0.147368421053
AP1G2	7	0.238095238095
AP1M1	18	0.111111111111
AP1M2	11	0.236363636364
AP1S1	8	0.214285714286
AP1S2	3	0.666666666667
AP1S3	1	0.0
AP2A1	16	0.116666666667
AP2A2	15	0.219047619048
AP2B1	34	0.0766488413547
AP2M1	36	0.0444444444444
AP2S1	6	0.2
AP3B1	8	0.321428571429
AP3B2	3	0.333333333333
AP3D1	5	0.5
AP3M1	6	0.266666666667
AP3S1	2	1.0
AP3S2	6	0.4
AP4B1	4	0.5
AP4E1	4	0.333333333333
AP4M1	4	0.666666666667
AP4S1	3	0.333333333333
APAF1	12	0.272727272727
APBA1	12	0.19696969697
APBA2	10	0.0222222222222
APBA3	5	0.0
APBB1	67	0.0610576923077
APBB1IP	6	0.466666666667
APBB2	2	1.0
APBB3	3	0.0
APC	115	0.0267067003793
APC11	1	0.0
APC2	18	0.408333333333
APCS	12	0.0444444444444
APE2	1	0.0
APEH	5	0.666666666667
APEX1	19	0.251461988304
APEX2	10	0.177777777778
APH1A	4	1.0
APH1B	1	0.0
API5	4	0.5
APIP	8	0.2
APITD1	16	0.571428571429
APJ1	1	0.0
APLF	4	0.666666666667
APLP1	37	0.0315315315315
APLP2	14	0.131868131868
APM2	1	0.0
APOA1	23	0.0047619047619
APOA1BP	4	0.5
APOA2	5	0.0
APOA4	1	0.0
APOB	26	0.0523076923077
APOBEC1	9	0.0952380952381
APOBEC2	1	0.0
APOBEC3A	1	0.0
APOBEC3B	1	0.0
APOBEC3C	3	0.333333333333
APOBEC3F	2	1.0
APOBEC3G	8	0.333333333333
APOBEC4	2	0.0
APOC1	2	0.0
APOC2	1	0.0
APOC3	1	0.0
APOD	5	0.0
APOE	9	0.138888888889
APOF	2	0.0
APOH	10	0.111111111111
APOL1	1	0.0
APOL2	1	0.0
APOM	2	0.0
APOOL	1	0.0
APOPT1	1	0.0
APP	44	0.0570824524313
APPBP2	20	0.0631578947368
APPL1	12	0.378787878788
APPL2	6	0.4
APRT	3	0.666666666667
APTX	4	0.666666666667
AQN-1	2	0.0
AQP1	6	0.0
AQP2	1	0.0
AQP3	2	1.0
AQP4	2	0.0
AQP5	1	0.0
AQP9	1	0.0
AQR	8	0.142857142857
AR	173	0.059305125559
ARAF	26	0.0984615384615
ARAP1	14	0.142857142857
ARAP3	3	1.0
ARC	2	1.0
ARCN1	5	0.4
AREG	1	0.0
ARF1	33	0.0645161290323
ARF3	15	0.0952380952381
ARF4	6	0.266666666667
ARF5	5	0.5
ARF6	29	0.0985221674877
ARFGAP1	7	0.238095238095
ARFGAP2	1	0.0
ARFGAP3	1	0.0
ARFGEF1	6	0.533333333333
ARFGEF2	8	0.321428571429
ARFIP1	6	0.466666666667
ARFIP2	13	0.163636363636
ARFRP1	1	0.0
ARG1	5	0.4
ARG2	1	0.0
ARGLU1	3	0.666666666667
ARHGAP1	11	0.333333333333
ARHGAP10	5	0.4
ARHGAP11A	2	0.0
ARHGAP12	1	0.0
ARHGAP15	2	0.0
ARHGAP17	17	0.161764705882
ARHGAP18	1	0.0
ARHGAP19	1	0.0
ARHGAP20	2	0.0
ARHGAP21	2	0.0
ARHGAP22	1	0.0
ARHGAP23	4	1.0
ARHGAP26	6	0.4
ARHGAP27	4	0.666666666667
ARHGAP29	7	0.285714285714
ARHGAP31	1	0.0
ARHGAP32	22	0.17316017316
ARHGAP33	1	0.0
ARHGAP35	6	0.466666666667
ARHGAP4	1	0.0
ARHGAP44	3	0.333333333333
ARHGAP5	6	0.2
ARHGAP8	1	0.0
ARHGAP9	2	0.0
ARHGDIA	52	0.111020408163
ARHGDIB	9	0.25
ARHGDIG	5	0.0
ARHGEF1	16	0.175824175824
ARHGEF10	1	0.0
ARHGEF11	9	0.25
ARHGEF12	12	0.333333333333
ARHGEF15	5	0.1
ARHGEF16	2	1.0
ARHGEF17	2	1.0
ARHGEF18	4	0.0
ARHGEF19	1	0.0
ARHGEF2	15	0.266666666667
ARHGEF25	3	0.333333333333
ARHGEF3	4	0.166666666667
ARHGEF35	1	0.0
ARHGEF4	5	0.0
ARHGEF40	3	0.666666666667
ARHGEF5	2	1.0
ARHGEF6	9	0.166666666667
ARHGEF7	13	0.141025641026
ARHGEF9	5	0.4
ARID1A	34	0.319073083779
ARID1B	20	0.43137254902
ARID2	17	0.514705882353
ARID3A	3	0.0
ARID3B	5	0.5
ARID4A	23	0.312252964427
ARID4B	11	0.672727272727
ARID5A	1	0.0
ARID5B	2	1.0
ARIH1	6	0.4
ARIH2	38	0.0526315789474
ARL1	9	0.194444444444
ARL10	1	0.0
ARL11	2	1.0
ARL13B	1	0.0
ARL15	14	0.10989010989
ARL16	1	0.0
ARL2	12	0.227272727273
ARL2BP	5	0.3
ARL3	11	0.145454545455
ARL4A	2	1.0
ARL4C	1	0.0
ARL4D	13	0.115384615385
ARL5A	4	0.5
ARL5B	1	0.0
ARL6	7	0.190476190476
ARL6IP1	9	0.166666666667
ARL6IP4	2	0.0
ARL6IP5	4	0.333333333333
ARL6IP6	1	0.0
ARL8A	1	0.0
ARL8B	3	0.666666666667
ARMC1	2	1.0
ARMC10	2	0.0
ARMC5	1	0.0
ARMC6	6	0.333333333333
ARMC7	2	0.0
ARMC8	3	0.666666666667
ARMC9	1	0.0
ARMCX2	2	1.0
ARMCX3	5	0.4
ARMCX5	1	0.0
ARNT	24	0.199275362319
ARNT2	4	0.0
ARNTL	22	0.316017316017
ARNTL2	2	1.0
ARO1	1	0.0
ARPC1A	2	0.0
ARPC1B	4	0.333333333333
ARPC2	7	0.619047619048
ARPC3	16	0.183333333333
ARPC3P1	1	0.0
ARPC4	10	0.422222222222
ARPC4-TTLL3	1	0.0
ARPC5	6	0.333333333333
ARPC5L	5	0.4
ARPP19	2	0.0
ARR3	21	0.17619047619
ARRB1	206	0.026031102096
ARRB2	296	0.0192705068375
ARRDC1	7	0.428571428571
ARRDC2	1	0.0
ARRDC3	5	0.2
ARRDC4	1	0.0
ARSA	3	0.0
ARSE	2	0.0
ARTN	1	0.0
ARV1	1	0.0
ARVCF	4	0.5
AS3MT	1	0.0
ASAH1	5	0.4
ASAH2	1	0.0
ASAH2B	1	0.0
ASAH2C	1	0.0
ASAP1	18	0.274509803922
ASAP2	10	0.311111111111
ASB1	2	1.0
ASB12	3	0.333333333333
ASB13	5	0.0
ASB2	12	0.378787878788
ASB3	5	0.2
ASB4	5	0.2
ASB6	3	0.666666666667
ASB7	3	0.333333333333
ASB8	3	0.333333333333
ASB9	8	0.357142857143
ASCC1	5	0.7
ASCC2	37	0.0570570570571
ASCC3	10	0.266666666667
ASCL1	3	0.666666666667
ASCL2	6	0.533333333333
ASCL3	1	0.0
ASCL4	1	0.0
ASF1A	27	0.182336182336
ASF1B	35	0.142857142857
ASG1	1	0.0
ASGR1	4	0.0
ASGR2	1	0.0
ASH1L	4	0.333333333333
ASH2L	45	0.198228128461
ASL	4	1.0
ASM4	1	0.0
ASMTL	4	0.0
ASNA1	9	0.166666666667
ASNS	7	0.142857142857
ASNSD1	1	0.0
ASPA	2	0.0
ASPH	2	1.0
ASPM	6	0.333333333333
ASPRV1	1	0.0
ASPSCR1	9	0.333333333333
ASRGL1	5	0.3
ASS1	9	0.238095238095
ASTL	1	0.0
ASTN1	1	0.0
ASUN	8	0.5
ASXL1	7	0.333333333333
ASXL2	4	0.5
ASZ1	1	0.0
ATAD1	3	0.666666666667
ATAD2	12	0.242424242424
ATAD2B	1	0.0
ATAD3A	14	0.120879120879
ATAD3B	12	0.166666666667
ATAD5	10	0.444444444444
ATCAY	1	0.0
ATE1	2	1.0
ATF1	10	0.333333333333
ATF2	38	0.215873015873
ATF3	26	0.267692307692
ATF4	30	0.131034482759
ATF5	6	0.2
ATF6	15	0.384615384615
ATF6B	5	0.8
ATF7	8	0.107142857143
ATF7IP	16	0.275
ATF7IP2	3	0.333333333333
ATG1	1	0.0
ATG10	11	0.181818181818
ATG12	20	0.168421052632
ATG13	5	0.5
ATG14	5	0.8
ATG15	1	0.0
ATG16L1	13	0.217948717949
ATG16L2	1	0.0
ATG2A	11	0.0181818181818
ATG2B	2	1.0
ATG3	19	0.309941520468
ATG4	1	0.0
ATG4B	18	0.248366013072
ATG4C	10	0.422222222222
ATG4D	1	0.0
ATG5	10	0.333333333333
ATG7	16	0.3
ATG8	1	0.0
ATG9A	3	0.666666666667
ATIC	14	0.0879120879121
ATL1	3	0.0
ATL2	3	0.333333333333
ATL3	1	0.0
ATM	88	0.0998632010944
ATMS1	1	0.0
ATN1	21	0.0952380952381
ATOH8	1	0.0
ATOX1	3	0.666666666667
ATP10D	1	0.0
ATP11A	1	0.0
ATP11B	1	0.0
ATP11C	1	0.0
ATP12A	2	0.0
ATP13A1	1	0.0
ATP13A2	2	1.0
ATP13A3	1	0.0
ATP1A1	14	0.142857142857
ATP1A2	1	0.0
ATP1A3	1	0.0
ATP1A4	1	0.0
ATP1B1	15	0.0761904761905
ATP1B3	2	0.0
ATP2A1	4	0.333333333333
ATP2A2	11	0.109090909091
ATP2A3	3	0.666666666667
ATP2B1	2	1.0
ATP2B2	7	0.0952380952381
ATP2B3	2	1.0
ATP2B4	8	0.142857142857
ATP2C1	1	0.0
ATP2C2	1	0.0
ATP4A	1	0.0
ATP5A1	18	0.169934640523
ATP5B	23	0.114624505929
ATP5C1	21	0.0666666666667
ATP5D	2	1.0
ATP5E	2	1.0
ATP5F1	3	0.0
ATP5G1	1	0.0
ATP5G3	1	0.0
ATP5H	2	0.0
ATP5I	2	1.0
ATP5J	4	0.5
ATP5J2	16	0.0916666666667
ATP5L	4	0.166666666667
ATP5O	2	1.0
ATP6	2	0.0
ATP6AP1	4	0.166666666667
ATP6AP2	3	0.333333333333
ATP6V0A1	1	0.0
ATP6V0A2	1	0.0
ATP6V0A4	1	0.0
ATP6V0C	2	0.0
ATP6V0D1	2	1.0
ATP6V0D2	1	0.0
ATP6V1A	6	0.4
ATP6V1B1	1	0.0
ATP6V1B2	1	0.0
ATP6V1C1	1	0.0
ATP6V1D	1	0.0
ATP6V1E1	9	0.138888888889
ATP6V1E2	1	0.0
ATP6V1F	2	0.0
ATP6V1G1	3	0.666666666667
ATP6V1G2	1	0.0
ATP6V1H	2	1.0
ATP7A	3	0.666666666667
ATP7B	4	0.5
ATP8	5	0.3
ATP8A1	1	0.0
ATP8B2	1	0.0
ATP8B3	1	0.0
ATP9A	1	0.0
ATP9B	1	0.0
ATPAF1	3	0.666666666667
ATPAF2	1	0.0
ATPBD4	1	0.0
ATPIF1	3	0.333333333333
ATR	71	0.122335890878
ATRIP	15	0.285714285714
ATRN	2	1.0
ATRNL1	1	0.0
ATRX	24	0.0978260869565
ATXN1	17	0.132352941176
ATXN10	5	0.4
ATXN1L	6	0.333333333333
ATXN2	9	0.333333333333
ATXN2L	9	0.194444444444
ATXN3	35	0.141176470588
ATXN3L	1	0.0
ATXN7	72	0.027386541471
ATXN7L1	1	0.0
ATXN7L2	1	0.0
ATXN7L3	8	0.857142857143
ATXN7L3B	1	0.0
AUH	3	0.0
AUP1	27	0.106666666667
AURKA	38	0.112698412698
AURKAIP1	2	1.0
AURKB	42	0.114102564103
AURKC	5	0.3
AUTS2	3	0.666666666667
AVEN	4	0.833333333333
AVIL	2	0.0
AVL9	1	0.0
AVP	2	0.0
AVPI1	1	0.0
AVPR1A	2	0.0
AVPR1B	1	0.0
AVPR2	9	0.305555555556
AXIN1	39	0.148648648649
AXIN2	7	0.47619047619
AXL	10	0.422222222222
AYR1	1	0.0
AZGP1	3	0.333333333333
AZGP1P1	1	0.0
AZI1	9	0.194444444444
AZI2	13	0.269230769231
AZIN1	4	0.333333333333
AZU1	2	0.0
Aacs	1	0.0
Acat1	1	0.0
Act5C	2	1.0
Actb	7	0.047619047619
Actg1	2	0.0
Actl6a	1	0.0
Actl6b	1	0.0
Actn1	1	0.0
Actn2	1	0.0
Actn3	1	0.0
Actn4	1	0.0
Actr1a	10	0.0222222222222
Actr1b	1	0.0
Actr8	1	0.0
Acvr1b	1	0.0
Add1	1	0.0
Adrb3	1	0.0
Adrbk1	2	1.0
Adrm1	1	0.0
Agap2	1	0.0
Agfg1	1	0.0
Agfg2	1	0.0
Agrn	1	0.0
Agtrap	1	0.0
Aif1l	5	0.0
Akap1	2	1.0
Akap12	8	0.0
Akap9	2	1.0
Akt1	3	0.666666666667
Akt2	1	0.0
Aldoa	2	0.0
Alg2	3	0.0
Amotl1	1	0.0
Amph	3	0.333333333333
Anapc1	14	0.43956043956
Anapc13	10	0.555555555556
Anapc16	9	0.611111111111
Anapc2	11	0.527272727273
Anapc5	14	0.428571428571
Ank2	1	0.0
Ankmy2	1	0.0
Anln	1	0.0
Anxa6	1	0.0
Ap1b1	2	0.0
Ap2a1	3	0.333333333333
Ap2b1	4	0.333333333333
Ap2m1	1	0.0
Ap3b2	1	0.0
Apba1	1	0.0
Apba2	1	0.0
Apbb1	5	0.3
Apbb2	2	1.0
Apc	2	0.0
Apc2	2	0.0
Apob	1	0.0
Ar	2	0.0
Arfrp1	1	0.0
Arhgap15	2	1.0
Arhgap31	1	0.0
Arhgdia	2	0.0
Arhgdib	1	0.0
Arhgef1	3	1.0
Arhgef11	2	1.0
Arhgef6	4	0.333333333333
Arhgef7	5	0.6
Arl2	1	0.0
Arl3	1	0.0
Arl4d	3	1.0
Arl5b	1	0.0
Arrb1	1	0.0
Arrb2	5	0.4
Asb4	1	0.0
Ash2l	2	1.0
Asna1	1	0.0
At1g04410	1	0.0
At1g07920	1	0.0
At1g07930	1	0.0
At1g07940	1	0.0
At1g09310	1	0.0
At1g80930	1	0.0
At2g01720	1	0.0
At2g04520	1	0.0
At2g30620	1	0.0
At2g31610	1	0.0
At2g36950	1	0.0
At2g40650	1	0.0
At2g47610	1	0.0
At3g03773	1	0.0
At3g05900	1	0.0
At3g08530	1	0.0
At3g09440	1	0.0
At3g11130	1	0.0
At3g12630	1	0.0
At3g49660	1	0.0
At3g50520	1	0.0
At3g53230	1	0.0
